arc_length,\delta = h,\delta = sqrt(2), \delta = 2h,Exact Solution,No Filter
0,0,0,0,0,0
0.00141421,0.00576088,0.00475412,0.00372263,0.00094585,0.00799839
0.00282843,0.0115218,0.00950823,0.00744526,0.0018917,0.0159968
0.00424264,0.0172827,0.0142624,0.0111679,0.00283755,0.0239952
0.00565685,0.0230435,0.0190165,0.0148905,0.0037834,0.0319935
0.00707107,0.0288044,0.0237706,0.0186131,0.00472925,0.0399919
0.00848528,0.0345653,0.0285247,0.0223358,0.0056751,0.0479903
0.0098995,0.0403262,0.0332788,0.0260584,0.00662095,0.0559887
0.0113137,0.0460871,0.0380329,0.029781,0.0075668,0.0639871
0.0127279,0.0518479,0.0427871,0.0335037,0.00851265,0.0719855
0.0141421,0.0576088,0.0475412,0.0372263,0.0094585,0.0799839
0.0155563,0.0633697,0.0522953,0.0409489,0.0104043,0.0879822
0.0169706,0.0691306,0.0570494,0.0446716,0.0113502,0.0959806
0.0183848,0.0748915,0.0618035,0.0483942,0.012296,0.103979
0.019799,0.0806524,0.0665576,0.0521168,0.0132419,0.111977
0.0212132,0.0864133,0.0713118,0.0558394,0.0141877,0.119976
0.0226274,0.0921741,0.0760659,0.0595621,0.0151336,0.127974
0.0240416,0.097935,0.08082,0.0632847,0.0160794,0.135973
0.0254558,0.103696,0.0855741,0.0670073,0.0170253,0.143971
0.0268701,0.109457,0.0903282,0.07073,0.0179711,0.151969
0.0282843,0.115218,0.0950823,0.0744526,0.018917,0.159968
0.0296985,0.120979,0.0998365,0.0781752,0.0198628,0.167966
0.0311127,0.126739,0.104591,0.0818978,0.0208087,0.175964
0.0325269,0.1325,0.109345,0.0856205,0.0217545,0.183963
0.0339411,0.138261,0.114099,0.0893431,0.0227004,0.191961
0.0353553,0.144022,0.118853,0.0930657,0.0236462,0.19996
0.0367696,0.149783,0.123607,0.0967884,0.0245921,0.207958
0.0381838,0.155544,0.128361,0.100511,0.0255379,0.215956
0.039598,0.161305,0.133115,0.104234,0.0264838,0.223955
0.0410122,0.167066,0.137869,0.107956,0.0274296,0.231953
0.0424264,0.172827,0.142624,0.111679,0.0283755,0.239952
0.0438406,0.178587,0.147378,0.115402,0.0293213,0.24795
0.0452548,0.184348,0.152132,0.119124,0.0302672,0.255948
0.046669,0.190109,0.156886,0.122847,0.031213,0.263947
0.0480833,0.19587,0.16164,0.126569,0.0321589,0.271945
0.0494975,0.201631,0.166394,0.130292,0.0331047,0.279944
0.0509117,0.207392,0.171148,0.134015,0.0340506,0.287942
0.0523259,0.213153,0.175902,0.137737,0.0349964,0.29594
0.0537401,0.218914,0.180656,0.14146,0.0359423,0.303939
0.0551543,0.224674,0.185411,0.145183,0.0368881,0.311937
0.0565685,0.230435,0.190165,0.148905,0.037834,0.319935
0.0579828,0.236196,0.194919,0.152628,0.0387798,0.327934
0.059397,0.241957,0.199673,0.15635,0.0397257,0.335932
0.0608112,0.247718,0.204427,0.160073,0.0406715,0.343931
0.0622254,0.253479,0.209181,0.163796,0.0416174,0.351929
0.0636396,0.25924,0.213935,0.167518,0.0425632,0.359927
0.0650538,0.265001,0.218689,0.171241,0.0435091,0.367926
0.066468,0.270762,0.223443,0.174964,0.0444549,0.375924
0.0678823,0.276522,0.228198,0.178686,0.0454008,0.383923
0.0692965,0.282283,0.232952,0.182409,0.0463466,0.391921
0.0707107,0.288044,0.237706,0.186131,0.0472925,0.399919
0.0721249,0.282899,0.234319,0.184575,0.0482455,0.390957
0.0735391,0.277753,0.230933,0.183018,0.0491985,0.381996
0.0749533,0.272607,0.227546,0.181461,0.0501515,0.373034
0.0763675,0.267462,0.22416,0.179904,0.0511044,0.364072
0.0777817,0.262316,0.220773,0.178347,0.0520574,0.35511
0.079196,0.25717,0.217387,0.17679,0.0530104,0.346148
0.0806102,0.252025,0.214,0.175233,0.0539634,0.337186
0.0820244,0.246879,0.210614,0.173676,0.0549164,0.328225
0.0834386,0.241734,0.207227,0.172119,0.0558694,0.319263
0.0848528,0.236588,0.203841,0.170562,0.0568224,0.310301
0.086267,0.231442,0.200454,0.169005,0.0577753,0.301339
0.0876812,0.226297,0.197068,0.167448,0.0587283,0.292377
0.0890955,0.221151,0.193681,0.165891,0.0596813,0.283415
0.0905097,0.216005,0.190295,0.164334,0.0606343,0.274454
0.0919239,0.21086,0.186908,0.162777,0.0615873,0.265492
0.0933381,0.205714,0.183522,0.16122,0.0625403,0.25653
0.0947523,0.200569,0.180135,0.159663,0.0634933,0.247568
0.0961665,0.195423,0.176749,0.158106,0.0644463,0.238606
0.0975807,0.190277,0.173362,0.156549,0.0653992,0.229645
0.0989949,0.185132,0.169976,0.154992,0.0663522,0.220683
0.100409,0.179986,0.166589,0.153435,0.0673052,0.211721
0.101823,0.17484,0.163203,0.151878,0.0682582,0.202759
0.103238,0.169695,0.159816,0.150321,0.0692112,0.193797
0.104652,0.164549,0.15643,0.148764,0.0701642,0.184835
0.106066,0.159404,0.153043,0.147207,0.0711172,0.175873
0.10748,0.154258,0.149657,0.14565,0.0720701,0.166912
0.108894,0.149112,0.14627,0.144093,0.0730231,0.15795
0.110309,0.143967,0.142884,0.142537,0.0739761,0.148988
0.111723,0.138821,0.139497,0.14098,0.0749291,0.140026
0.113137,0.133675,0.136111,0.139423,0.0758821,0.131064
0.114551,0.12853,0.132724,0.137866,0.0768351,0.122103
0.115966,0.123384,0.129338,0.136309,0.0777881,0.113141
0.11738,0.118239,0.125951,0.134752,0.078741,0.104179
0.118794,0.113093,0.122565,0.133195,0.079694,0.095217
0.120208,0.107947,0.119178,0.131638,0.080647,0.0862552
0.121622,0.102802,0.115792,0.130081,0.0816,0.0772933
0.123037,0.0976561,0.112405,0.128524,0.082553,0.0683315
0.124451,0.0925104,0.109019,0.126967,0.083506,0.0593697
0.125865,0.0873648,0.105632,0.12541,0.084459,0.0504078
0.127279,0.0822192,0.102246,0.123853,0.085412,0.041446
0.128693,0.0770736,0.0988595,0.122296,0.0863649,0.0324842
0.130108,0.0719279,0.0954729,0.120739,0.0873179,0.0235223
0.131522,0.0667823,0.0920864,0.119182,0.0882709,0.0145605
0.132936,0.0616367,0.0887,0.117625,0.0892239,0.00559871
0.13435,0.0564911,0.0853135,0.116068,0.0901769,-0.00336314
0.135765,0.0513454,0.081927,0.114511,0.0911299,-0.012325
0.137179,0.0461998,0.0785404,0.112954,0.0920829,-0.0212868
0.138593,0.0410542,0.075154,0.111397,0.0930358,-0.0302486
0.140007,0.0359086,0.0717675,0.10984,0.0939888,-0.0392105
0.141421,0.030763,0.068381,0.108283,0.0949418,-0.0481723
0.142836,0.0382278,0.0740464,0.112138,0.0959004,-0.0361057
0.14425,0.0456926,0.0797118,0.115993,0.0968589,-0.0240392
0.145664,0.0531575,0.0853773,0.119848,0.0978174,-0.0119726
0.147078,0.0606223,0.0910427,0.123703,0.098776,9.4033E-05
0.148492,0.0680872,0.0967081,0.127557,0.0997345,0.0121605
0.149907,0.075552,0.102374,0.131412,0.100693,0.0242271
0.151321,0.0830169,0.108039,0.135267,0.101652,0.0362938
0.152735,0.0904817,0.113704,0.139122,0.10261,0.0483604
0.154149,0.0979466,0.11937,0.142977,0.103569,0.0604269
