"arc_length","N=0","N=1","N=2","N=3","Exact ","No Filter"
0,0,0,0,0,0,0
0.00141421,0.000687253,0.000687534,0.000687692,0.000687798,0.00073463,0.000690803
0.00282843,0.00137451,0.00137507,0.00137538,0.0013756,0.00146926,0.00138161
0.00424264,0.00206176,0.0020626,0.00206308,0.00206339,0.00220389,0.00207241
0.00565685,0.00274901,0.00275014,0.00275077,0.00275119,0.00293852,0.00276321
0.00707107,0.00343626,0.00343767,0.00343846,0.00343899,0.00367315,0.00345401
0.00848528,0.00426621,0.00426838,0.00426967,0.00427058,0.00450369,0.00428775
0.0098995,0.00509617,0.00509909,0.00510089,0.00510217,0.00533424,0.0051215
0.0113137,0.00592612,0.00592981,0.0059321,0.00593376,0.00616479,0.00595524
0.0127279,0.00675607,0.00676052,0.00676331,0.00676535,0.00699534,0.00678898
0.0141421,0.00758602,0.00759123,0.00759452,0.00759694,0.00782589,0.00762272
0.0155563,0.00846664,0.00847266,0.00847636,0.00847903,0.0086996,0.0085019
0.0169706,0.00934725,0.00935409,0.0093582,0.00936111,0.00957332,0.00938108
0.0183848,0.0102279,0.0102355,0.01024,0.0102432,0.010447,0.0102603
0.019799,0.0111085,0.0111169,0.0111219,0.0111253,0.0113207,0.0111394
0.0212132,0.0119891,0.0119984,0.0120037,0.0120073,0.0121945,0.0120186
0.0226274,0.0128896,0.0128995,0.0129049,0.0129085,0.013091,0.0129191
0.0240416,0.0137902,0.0138005,0.0138061,0.0138097,0.0139875,0.0138196
0.0254558,0.0146907,0.0147016,0.0147073,0.0147109,0.014884,0.01472
0.0268701,0.0155913,0.0156027,0.0156085,0.0156121,0.0157806,0.0156205
0.0282843,0.0164918,0.0165038,0.0165098,0.0165133,0.0166771,0.016521
0.0296985,0.0174056,0.0174179,0.0174238,0.0174271,0.0175875,0.0174342
0.0311127,0.0183194,0.0183319,0.0183378,0.018341,0.0184979,0.0183474
0.0325269,0.0192332,0.019246,0.0192518,0.0192548,0.0194083,0.0192607
0.0339411,0.020147,0.0201601,0.0201658,0.0201687,0.0203188,0.0201739
0.0353553,0.0210609,0.0210742,0.0210798,0.0210825,0.0212292,0.0210871
0.0367696,0.0219833,0.0219967,0.0220022,0.0220048,0.0221491,0.0220091
0.0381838,0.0229058,0.0229192,0.0229246,0.022927,0.0230689,0.0229311
0.039598,0.0238282,0.0238417,0.023847,0.0238493,0.0239888,0.023853
0.0410122,0.0247507,0.0247643,0.0247694,0.0247715,0.0249087,0.024775
