"arc_length","N=0","N=1","N=2","N=3"
0,0,0,0,0
0.00141421,0.00031413,0.00027615,0.000228672,0.000191758
0.00282843,0.00062826,0.000552301,0.000457344,0.000383516
0.00424264,0.000942391,0.000828451,0.000686016,0.000575274
0.00565685,0.00125652,0.0011046,0.000914688,0.000767031
0.00707107,0.00157065,0.00138075,0.00114336,0.000958789
0.00848528,0.0016867,0.00138144,0.00109117,0.000883444
0.0098995,0.00180275,0.00138213,0.00103898,0.0008081
0.0113137,0.0019188,0.00138283,0.000986793,0.000732755
0.0127279,0.00203485,0.00138352,0.000934604,0.00065741
0.0141421,0.0021509,0.00138421,0.000882415,0.000582065
0.0155563,0.00217555,0.0013272,0.00081574,0.000523775
0.0169706,0.00220021,0.00127019,0.000749064,0.000465485
0.0183848,0.00222487,0.00121318,0.000682388,0.000407195
0.019799,0.00224953,0.00115617,0.000615712,0.000348906
0.0212132,0.00227418,0.00109915,0.000549036,0.000290616
0.0226274,0.00226649,0.00105032,0.000511835,0.000267916
0.0240416,0.00225879,0.00100149,0.000474633,0.000245215
0.0254558,0.0022511,0.000952656,0.000437432,0.000222515
0.0268701,0.00224341,0.000903823,0.00040023,0.000199815
0.0282843,0.00223571,0.000854991,0.000363029,0.000177115
0.0296985,0.00221875,0.000822073,0.000345247,0.000169405
0.0311127,0.0022018,0.000789156,0.000327466,0.000161695
0.0325269,0.00218484,0.000756238,0.000309685,0.000153985
0.0339411,0.00216789,0.000723321,0.000291904,0.000146275
0.0353553,0.00215093,0.000690404,0.000274123,0.000138565
0.0367696,0.00213274,0.000668946,0.000265,0.000134847
0.0381838,0.00211455,0.000647487,0.000255878,0.00013113
0.039598,0.00209635,0.000626029,0.000246756,0.000127412
0.0410122,0.00207816,0.000604571,0.000237633,0.000123695
0.0424264,0.00205997,0.000583113,0.000228511,0.000119977
0.0438406,0.00204299,0.000568525,0.000222742,0.000116977
0.0452548,0.00202601,0.000553937,0.000216974,0.000113977
0.046669,0.00200903,0.000539349,0.000211205,0.000110978
0.0480833,0.00199204,0.000524761,0.000205436,0.000107978
0.0494975,0.00197506,0.000510173,0.000199668,0.000104978
0.0509117,0.00195982,0.000499557,0.000195239,0.000102193
0.0523259,0.00194457,0.000488942,0.00019081,9.94083e-05
0.0537401,0.00192933,0.000478327,0.000186381,9.66233e-05
0.0551543,0.00191408,0.000467712,0.000181952,9.38384e-05
0.0565685,0.00189884,0.000457097,0.000177523,9.10534e-05
0.0579828,0.00188526,0.000448855,0.000173786,8.85648e-05
0.059397,0.00187168,0.000440613,0.000170049,8.60763e-05
0.0608112,0.0018581,0.000432372,0.000166312,8.35877e-05
0.0622254,0.00184452,0.00042413,0.000162574,8.10991e-05
0.0636396,0.00183094,0.000415888,0.000158837,7.86105e-05
0.0650538,0.00181881,0.000409165,0.000155597,7.6488e-05
0.066468,0.00180668,0.000402442,0.000152357,7.43655e-05
0.0678823,0.00179455,0.000395718,0.000149118,7.2243e-05
0.0692965,0.00178242,0.000388995,0.000145878,7.01204e-05
0.0707107,0.00177028,0.000382272,0.000142638,6.79979e-05
0.0721249,0.00175938,0.0003766,0.000139822,6.62315e-05
0.0735391,0.00174847,0.000370928,0.000137005,6.44652e-05
0.0749533,0.00173756,0.000365256,0.000134189,6.26988e-05
0.0763675,0.00172665,0.000359584,0.000131372,6.09325e-05
0.0777817,0.00171574,0.000353912,0.000128556,5.91661e-05
0.079196,0.00170586,0.00034902,0.000126111,5.77053e-05
0.0806102,0.00169598,0.000344128,0.000123666,5.62445e-05
0.0820244,0.0016861,0.000339236,0.000121221,5.47837e-05
0.0834386,0.00167622,0.000334344,0.000118776,5.33228e-05
0.0848528,0.00166634,0.000329452,0.000116331,5.1862e-05
0.086267,0.00165733,0.000325169,0.000114208,5.06486e-05
0.0876812,0.00164833,0.000320885,0.000112085,4.94351e-05
0.0890955,0.00163932,0.000316602,0.000109962,4.82216e-05
0.0905097,0.00163031,0.000312319,0.000107839,4.70082e-05
0.0919239,0.00162131,0.000308036,0.000105716,4.57947e-05
0.0933381,0.00161305,0.000304246,0.000103867,4.47776e-05
0.0947523,0.00160479,0.000300456,0.000102019,4.37604e-05
0.0961665,0.00159653,0.000296666,0.000100171,4.27432e-05
0.0975807,0.00158827,0.000292876,9.83224e-05,4.1726e-05
0.0989949,0.00158001,0.000289086,9.6474e-05,4.07089e-05
0.100409,0.00157239,0.000285704,9.48581e-05,3.98475e-05
0.101823,0.00156478,0.000282323,9.32421e-05,3.89861e-05
0.103238,0.00155716,0.000278941,9.16262e-05,3.81247e-05
0.104652,0.00154955,0.00027556,9.00103e-05,3.72633e-05
0.106066,0.00154193,0.000272178,8.83943e-05,3.64019e-05
0.10748,0.00153487,0.000269141,8.69745e-05,3.56654e-05
0.108894,0.00152782,0.000266104,8.55547e-05,3.49289e-05
0.110309,0.00152076,0.000263066,8.41349e-05,3.41924e-05
0.111723,0.00151371,0.000260029,8.27151e-05,3.34559e-05
0.113137,0.00150665,0.000256992,8.12953e-05,3.27194e-05
0.114551,0.00150009,0.000254248,8.00412e-05,3.20842e-05
0.115966,0.00149353,0.000251505,7.87872e-05,3.14491e-05
0.11738,0.00148697,0.000248761,7.75332e-05,3.0814e-05
0.118794,0.0014804,0.000246018,7.62792e-05,3.01789e-05
0.120208,0.00147384,0.000243274,7.50251e-05,2.95437e-05
0.121622,0.00146771,0.000240784,7.39119e-05,2.8992e-05
0.123037,0.00146159,0.000238294,7.27986e-05,2.84402e-05
0.124451,0.00145546,0.000235803,7.16853e-05,2.78885e-05
0.125865,0.00144933,0.000233313,7.0572e-05,2.73367e-05
0.127279,0.0014432,0.000230822,6.94587e-05,2.6785e-05
0.128693,0.00143746,0.000228552,6.84656e-05,2.63026e-05
0.130108,0.00143172,0.000226281,6.74724e-05,2.58202e-05
0.131522,0.00142598,0.00022401,6.64793e-05,2.53379e-05
0.132936,0.00142024,0.000221739,6.54862e-05,2.48555e-05
0.13435,0.0014145,0.000219469,6.4493e-05,2.43731e-05
0.135765,0.0014091,0.00021739,6.3603e-05,2.3949e-05
0.137179,0.00140371,0.000215311,6.2713e-05,2.35249e-05
0.138593,0.00139832,0.000213233,6.1823e-05,2.31008e-05
0.140007,0.00139292,0.000211154,6.09331e-05,2.26767e-05
0.141421,0.00138753,0.000209075,6.00431e-05,2.22526e-05
0.142836,0.00138245,0.000207166,5.92422e-05,2.18778e-05
0.14425,0.00137736,0.000205256,5.84413e-05,2.15031e-05
0.145664,0.00137228,0.000203346,5.76404e-05,2.11284e-05
0.147078,0.0013672,0.000201437,5.68395e-05,2.07536e-05
0.148492,0.00136212,0.000199527,5.60386e-05,2.03789e-05
0.149907,0.00135731,0.000197767,5.53151e-05,2.00463e-05
0.151321,0.00135251,0.000196007,5.45916e-05,1.97136e-05
0.152735,0.00134771,0.000194246,5.38681e-05,1.9381e-05
0.154149,0.00134291,0.000192486,5.31445e-05,1.90484e-05
0.155563,0.00133811,0.000190726,5.2421e-05,1.87158e-05
0.156978,0.00133357,0.000189099,5.17651e-05,1.84193e-05
0.158392,0.00132902,0.000187471,5.11091e-05,1.81229e-05
0.159806,0.00132448,0.000185844,5.04532e-05,1.78264e-05
0.16122,0.00131993,0.000184216,4.97972e-05,1.753e-05
0.162635,0.00131538,0.000182589,4.91413e-05,1.72335e-05
0.164049,0.00131107,0.00018108,4.85446e-05,1.69683e-05
0.165463,0.00130676,0.000179572,4.79479e-05,1.67031e-05
0.166877,0.00130245,0.000178063,4.73513e-05,1.64379e-05
0.168291,0.00129814,0.000176554,4.67546e-05,1.61727e-05
0.169706,0.00129382,0.000175045,4.61579e-05,1.59075e-05
0.17112,0.00128972,0.000173643,4.56135e-05,1.56694e-05
0.172534,0.00128563,0.000172241,4.50691e-05,1.54313e-05
0.173948,0.00128153,0.000170838,4.45247e-05,1.51932e-05
0.175362,0.00127743,0.000169436,4.39803e-05,1.49551e-05
0.176777,0.00127333,0.000168033,4.34359e-05,1.4717e-05
0.178191,0.00126943,0.000166727,4.29377e-05,1.45025e-05
0.179605,0.00126552,0.00016542,4.24396e-05,1.42881e-05
0.181019,0.00126162,0.000164113,4.19414e-05,1.40736e-05
0.182434,0.00125772,0.000162807,4.14432e-05,1.38592e-05
0.183848,0.00125381,0.0001615,4.09451e-05,1.36447e-05
0.185262,0.00125009,0.00016028,4.0488e-05,1.3451e-05
0.186676,0.00124637,0.00015906,4.0031e-05,1.32572e-05
0.18809,0.00124264,0.000157839,3.95739e-05,1.30635e-05
0.189505,0.00123892,0.000156619,3.91169e-05,1.28697e-05
0.190919,0.0012352,0.000155399,3.86598e-05,1.2676e-05
0.192333,0.00123164,0.000154257,3.82394e-05,1.25004e-05
0.193747,0.00122808,0.000153115,3.78191e-05,1.23249e-05
0.195161,0.00122452,0.000151973,3.73987e-05,1.21493e-05
0.196576,0.00122097,0.000150832,3.69783e-05,1.19738e-05
0.19799,0.00121741,0.00014969,3.65579e-05,1.17983e-05
0.199404,0.00121401,0.000148619,3.61703e-05,1.16388e-05
0.200818,0.0012106,0.000147549,3.57828e-05,1.14793e-05
0.202233,0.0012072,0.000146478,3.53952e-05,1.13199e-05
0.203647,0.0012038,0.000145407,3.50076e-05,1.11604e-05
0.205061,0.00120039,0.000144337,3.46201e-05,1.10009e-05
0.206475,0.00119713,0.000143331,3.4262e-05,1.08557e-05
0.207889,0.00119387,0.000142326,3.39039e-05,1.07105e-05
0.209304,0.00119061,0.00014132,3.35458e-05,1.05652e-05
0.210718,0.00118735,0.000140314,3.31877e-05,1.042e-05
0.212132,0.00118409,0.000139309,3.28296e-05,1.02748e-05
0.213546,0.00118097,0.000138362,3.2498e-05,1.01422e-05
0.21496,0.00117784,0.000137416,3.21665e-05,1.00096e-05
0.216375,0.00117471,0.00013647,3.18349e-05,9.87706e-06
0.217789,0.00117158,0.000135524,3.15033e-05,9.74449e-06
0.219203,0.00116846,0.000134577,3.11718e-05,9.61191e-06
0.220617,0.00116545,0.000133686,3.08642e-05,9.49061e-06
0.222032,0.00116245,0.000132794,3.05566e-05,9.36932e-06
0.223446,0.00115945,0.000131902,3.0249e-05,9.24802e-06
0.22486,0.00115644,0.00013101,2.99414e-05,9.12672e-06
0.226274,0.00115344,0.000130118,2.96338e-05,9.00543e-06
0.227688,0.00115055,0.000129277,2.9348e-05,8.89421e-06
0.229103,0.00114766,0.000128435,2.90621e-05,8.783e-06
0.230517,0.00114478,0.000127593,2.87762e-05,8.67179e-06
0.231931,0.00114189,0.000126751,2.84903e-05,8.56058e-06
0.233345,0.001139,0.000125909,2.82044e-05,8.44936e-06
0.234759,0.00113622,0.000125114,2.79383e-05,8.34719e-06
0.236174,0.00113344,0.000124318,2.76721e-05,8.24502e-06
0.237588,0.00113066,0.000123522,2.74059e-05,8.14285e-06
0.239002,0.00112788,0.000122726,2.71398e-05,8.04068e-06
0.240416,0.0011251,0.000121931,2.68736e-05,7.93851e-06
0.241831,0.00112242,0.000121177,2.66254e-05,7.84446e-06
0.243245,0.00111975,0.000120424,2.63771e-05,7.75042e-06
0.244659,0.00111707,0.000119671,2.61289e-05,7.65637e-06
0.246073,0.00111439,0.000118918,2.58807e-05,7.56233e-06
