"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0,0,0,0,0,0,0
0.00141421,0.00576088,0.00567501,0.00567081,0.00569932,0.00094585,0.00799839
0.00282843,0.0115218,0.01135,0.0113416,0.0113986,0.0018917,0.0159968
0.00424264,0.0172827,0.017025,0.0170124,0.017098,0.00283755,0.0239952
0.00565685,0.0230435,0.0227,0.0226833,0.0227973,0.0037834,0.0319935
0.00707107,0.0288044,0.028375,0.0283541,0.0284966,0.00472925,0.0399919
0.00848528,0.0345653,0.0340501,0.0340249,0.0341959,0.0056751,0.0479903
0.0098995,0.0403262,0.0397251,0.0396957,0.0398953,0.00662095,0.0559887
0.0113137,0.0460871,0.0454001,0.0453665,0.0455946,0.0075668,0.0639871
0.0127279,0.0518479,0.0510751,0.0510373,0.0512939,0.00851265,0.0719855
0.0141421,0.0576088,0.0567501,0.0567081,0.0569932,0.0094585,0.0799839
0.0155563,0.0633697,0.0624251,0.062379,0.0626925,0.0104043,0.0879822
0.0169706,0.0691306,0.0681001,0.0680498,0.0683919,0.0113502,0.0959806
0.0183848,0.0748915,0.0737751,0.0737206,0.0740912,0.012296,0.103979
0.019799,0.0806524,0.0794501,0.0793914,0.0797905,0.0132419,0.111977
0.0212132,0.0864133,0.0851251,0.0850622,0.0854898,0.0141877,0.119976
0.0226274,0.0921741,0.0908001,0.090733,0.0911892,0.0151336,0.127974
0.0240416,0.097935,0.0964752,0.0964038,0.0968885,0.0160794,0.135973
0.0254558,0.103696,0.10215,0.102075,0.102588,0.0170253,0.143971
0.0268701,0.109457,0.107825,0.107745,0.108287,0.0179711,0.151969
0.0282843,0.115218,0.1135,0.113416,0.113986,0.018917,0.159968
0.0296985,0.120979,0.119175,0.119087,0.119686,0.0198628,0.167966
0.0311127,0.126739,0.12485,0.124758,0.125385,0.0208087,0.175964
0.0325269,0.1325,0.130525,0.130429,0.131084,0.0217545,0.183963
0.0339411,0.138261,0.1362,0.1361,0.136784,0.0227004,0.191961
0.0353553,0.144022,0.141875,0.14177,0.142483,0.0236462,0.19996
0.0367696,0.149783,0.14755,0.147441,0.148182,0.0245921,0.207958
0.0381838,0.155544,0.153225,0.153112,0.153882,0.0255379,0.215956
0.039598,0.161305,0.1589,0.158783,0.159581,0.0264838,0.223955
0.0410122,0.167066,0.164575,0.164454,0.16528,0.0274296,0.231953
0.0424264,0.172827,0.17025,0.170124,0.17098,0.0283755,0.239952
0.0438406,0.178587,0.175925,0.175795,0.176679,0.0293213,0.24795
0.0452548,0.184348,0.1816,0.181466,0.182378,0.0302672,0.255948
0.046669,0.190109,0.187275,0.187137,0.188078,0.031213,0.263947
0.0480833,0.19587,0.19295,0.192808,0.193777,0.0321589,0.271945
0.0494975,0.201631,0.198625,0.198478,0.199476,0.0331047,0.279944
0.0509117,0.207392,0.2043,0.204149,0.205176,0.0340506,0.287942
0.0523259,0.213153,0.209975,0.20982,0.210875,0.0349964,0.29594
0.0537401,0.218914,0.21565,0.215491,0.216574,0.0359423,0.303939
0.0551543,0.224674,0.221325,0.221162,0.222274,0.0368881,0.311937
0.0565685,0.230435,0.227,0.226833,0.227973,0.037834,0.319935
0.0579828,0.236196,0.232675,0.232503,0.233672,0.0387798,0.327934
0.059397,0.241957,0.23835,0.238174,0.239372,0.0397257,0.335932
0.0608112,0.247718,0.244025,0.243845,0.245071,0.0406715,0.343931
0.0622254,0.253479,0.2497,0.249516,0.25077,0.0416174,0.351929
0.0636396,0.25924,0.255375,0.255187,0.256469,0.0425632,0.359927
