"arc_length","N=0","N=1","N=2","N=3"
0,0,0,0,0
0.00141421,0.00269417,0.00269572,0.00270735,0.002722
0.00282843,0.00538834,0.00539144,0.00541471,0.00544399
0.00424264,0.00808251,0.00808716,0.00812206,0.00816599
0.00565685,0.0107767,0.0107829,0.0108294,0.010888
0.00707107,0.0134709,0.0134786,0.0135368,0.01361
0.00848528,0.016165,0.0161743,0.0162441,0.016332
0.0098995,0.0188592,0.01887,0.0189515,0.019054
0.0113137,0.0215534,0.0215658,0.0216588,0.021776
0.0127279,0.0242475,0.0242615,0.0243662,0.024498
0.0141421,0.0269417,0.0269572,0.0270735,0.0272199
0.0155563,0.0296359,0.0296529,0.0297809,0.0299419
0.0169706,0.03233,0.0323487,0.0324882,0.0326639
0.0183848,0.0350242,0.0350444,0.0351956,0.0353859
0.019799,0.0377184,0.0377401,0.037903,0.0381079
0.0212132,0.0404126,0.0404358,0.0406103,0.0408299
0.0226274,0.0431067,0.0431315,0.0433177,0.0435519
0.0240416,0.0458009,0.0458273,0.046025,0.0462739
0.0254558,0.0484951,0.048523,0.0487324,0.0489959
0.0268701,0.0511892,0.0512187,0.0514397,0.0517179
0.0282843,0.0538834,0.0539144,0.0541471,0.0544399
0.0296985,0.0565776,0.0566101,0.0568544,0.0571619
0.0311127,0.0592718,0.0593059,0.0595618,0.0598839
0.0325269,0.0619659,0.0620016,0.0622691,0.0626059
0.0339411,0.0646601,0.0646973,0.0649765,0.0653279
0.0353553,0.0673543,0.067393,0.0676838,0.0680499
0.0367696,0.0700484,0.0700887,0.0703912,0.0707719
0.0381838,0.0727426,0.0727845,0.0730986,0.0734939
0.039598,0.0754368,0.0754802,0.0758059,0.0762159
0.0410122,0.0781309,0.0781759,0.0785133,0.0789379
0.0424264,0.0808251,0.0808716,0.0812206,0.0816598
0.0438406,0.0835193,0.0835674,0.083928,0.0843818
0.0452548,0.0862135,0.0862631,0.0866353,0.0871038
0.046669,0.0889076,0.0889588,0.0893427,0.0898258
0.0480833,0.0916018,0.0916545,0.09205,0.0925478
0.0494975,0.094296,0.0943502,0.0947574,0.0952698
