"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0,0,0,0,0,0,0
0.00141421,0.000945004,0.000948466,0.000950327,0.000951587,0.00090693,0.000967456
0.00282843,0.00189001,0.00189693,0.00190065,0.00190317,0.00181386,0.00193491
0.00424264,0.00283501,0.0028454,0.00285098,0.00285476,0.00272079,0.00290237
0.00565685,0.00378002,0.00379386,0.00380131,0.00380635,0.00362772,0.00386982
0.00707107,0.00472502,0.00474233,0.00475164,0.00475793,0.00453465,0.00483728
0.00848528,0.00567002,0.00569079,0.00570196,0.00570952,0.00544158,0.00580474
0.0098995,0.00661503,0.00663926,0.00665229,0.00666111,0.00634851,0.00677219
0.0113137,0.00756003,0.00758773,0.00760262,0.00761269,0.00725544,0.00773965
0.0127279,0.00850503,0.00853619,0.00855295,0.00856428,0.00816237,0.0087071
0.0141421,0.00945004,0.00948466,0.00950327,0.00951587,0.0090693,0.00967456
0.0155563,0.010395,0.0104331,0.0104536,0.0104675,0.00997623,0.010642
0.0169706,0.01134,0.0113816,0.0114039,0.011419,0.0108832,0.0116095
0.0183848,0.012285,0.0123301,0.0123543,0.0123706,0.0117901,0.0125769
0.019799,0.0132301,0.0132785,0.0133046,0.0133222,0.012697,0.0135444
0.0212132,0.0141751,0.014227,0.0142549,0.0142738,0.0136039,0.0145118
0.0226274,0.0151201,0.0151755,0.0152052,0.0152254,0.0145109,0.0154793
0.0240416,0.0160651,0.0161239,0.0161556,0.016177,0.0154178,0.0164468
0.0254558,0.0170101,0.0170724,0.0171059,0.0171286,0.0163247,0.0174142
0.0268701,0.0179551,0.0180208,0.0180562,0.0180801,0.0172317,0.0183817
0.0282843,0.0189001,0.0189693,0.0190065,0.0190317,0.0181386,0.0193491
0.0296985,0.0198451,0.0199178,0.0199569,0.0199833,0.0190455,0.0203166
0.0311127,0.0207901,0.0208662,0.0209072,0.0209349,0.0199525,0.021284
0.0325269,0.0217351,0.0218147,0.0218575,0.0218865,0.0208594,0.0222515
0.0339411,0.0226801,0.0227632,0.0228079,0.0228381,0.0217663,0.0232189
0.0353553,0.0236251,0.0237116,0.0237582,0.0237897,0.0226733,0.0241864
0.0367696,0.024424,0.0245105,0.0245576,0.0245896,0.0235994,0.0249793
0.0381838,0.025223,0.0253093,0.0253571,0.0253896,0.0245255,0.0257721
0.039598,0.0260219,0.0261082,0.0261565,0.0261896,0.0254517,0.026565
0.0410122,0.0268208,0.026907,0.0269559,0.0269895,0.0263778,0.0273579
0.0424264,0.0276198,0.0277059,0.0277554,0.0277895,0.027304,0.0281508
0.0438406,0.0284187,0.0285047,0.0285548,0.0285894,0.0282301,0.0289436
0.0452548,0.0292176,0.0293036,0.0293542,0.0293894,0.0291563,0.0297365
0.046669,0.0300166,0.0301024,0.0301537,0.0301894,0.0300824,0.0305294
0.0480833,0.0308155,0.0309013,0.0309531,0.0309893,0.0310086,0.0313223
0.0494975,0.0316144,0.0317001,0.0317525,0.0317893,0.0319347,0.0321151
0.0509117,0.0324134,0.032499,0.032552,0.0325893,0.0328609,0.032908
0.0523259,0.0332123,0.0332978,0.0333514,0.0333892,0.033787,0.0337009
0.0537401,0.0340112,0.0340967,0.0341508,0.0341892,0.0347132,0.0344937
0.0551543,0.0348102,0.0348955,0.0349503,0.0349891,0.0356393,0.0352866
0.0565685,0.0356091,0.0356944,0.0357497,0.0357891,0.0365655,0.0360795
0.0579828,0.036408,0.0364932,0.0365492,0.0365891,0.0374916,0.0368724
0.059397,0.0372069,0.0372921,0.0373486,0.037389,0.0384177,0.0376652
0.0608112,0.0380059,0.0380909,0.038148,0.038189,0.0393439,0.0384581
0.0622254,0.0388048,0.0388898,0.0389475,0.038989,0.04027,0.039251
0.0636396,0.0396037,0.0396886,0.0397469,0.0397889,0.0411962,0.0400438
0.0650538,0.0404027,0.0404875,0.0405463,0.0405889,0.0421223,0.0408367
0.066468,0.0412016,0.0412863,0.0413458,0.0413888,0.0430485,0.0416296
0.0678823,0.0420005,0.0420852,0.0421452,0.0421888,0.0439746,0.0424225
0.0692965,0.0427995,0.042884,0.0429446,0.0429888,0.0449008,0.0432153
0.0707107,0.0435984,0.0436829,0.0437441,0.0437887,0.0458269,0.0440082
0.0721249,0.0446683,0.0447635,0.0448297,0.0448765,0.0467663,0.0450972
0.0735391,0.0457383,0.0458442,0.0459152,0.0459643,0.0477056,0.0461861
0.0749533,0.0468082,0.0469248,0.0470008,0.0470521,0.048645,0.0472751
0.0763675,0.0478781,0.0480055,0.0480864,0.0481399,0.0495844,0.048364
0.0777817,0.0489481,0.0490861,0.049172,0.0492277,0.0505237,0.049453
0.079196,0.050018,0.0501668,0.0502576,0.0503155,0.0514631,0.050542
0.0806102,0.0510879,0.0512475,0.0513431,0.0514033,0.0524024,0.0516309
0.0820244,0.0521578,0.0523281,0.0524287,0.0524911,0.0533418,0.0527199
0.0834386,0.0532278,0.0534088,0.0535143,0.0535789,0.0542811,0.0538089
0.0848528,0.0542977,0.0544894,0.0545999,0.0546667,0.0552205,0.0548978
0.086267,0.0553676,0.0555701,0.0556855,0.0557545,0.0561599,0.0559868
0.0876812,0.0564376,0.0566507,0.0567711,0.0568423,0.0570992,0.0570757
0.0890955,0.0575075,0.0577314,0.0578566,0.05793,0.0580386,0.0581647
