"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0,0,0,0,0,0,0
0.00141421,0.000664089,0.000664389,0.000664672,0.000664933,0.000704623,0.000670444
0.00282843,0.00132818,0.00132878,0.00132934,0.00132987,0.00140925,0.00134089
0.00424264,0.00199227,0.00199317,0.00199402,0.0019948,0.00211387,0.00201133
0.00565685,0.00265635,0.00265755,0.00265869,0.00265973,0.00281849,0.00268178
0.00707107,0.00332044,0.00332194,0.00332336,0.00332467,0.00352312,0.00335222
0.00848528,0.00416825,0.00417107,0.00417326,0.00417508,0.0043568,0.00420108
0.0098995,0.00501606,0.0050202,0.00502317,0.0050255,0.00519049,0.00504993
0.0113137,0.00586387,0.00586933,0.00587307,0.00587591,0.00602418,0.00589878
0.0127279,0.00671168,0.00671846,0.00672298,0.00672633,0.00685787,0.00674764
0.0141421,0.00755949,0.00756759,0.00757288,0.00757674,0.00769155,0.00759649
0.0155563,0.00844263,0.00845191,0.00845765,0.00846168,0.00856943,0.00847984
0.0169706,0.00932577,0.00933622,0.00934242,0.00934661,0.00944732,0.00936319
0.0183848,0.0102089,0.0102205,0.0102272,0.0102316,0.0103252,0.0102465
0.019799,0.0110921,0.0111049,0.011112,0.0111165,0.0112031,0.0111299
0.0212132,0.0119752,0.0119892,0.0119967,0.0120014,0.012081,0.0120132
0.0226274,0.0128775,0.0128922,0.0128998,0.0129044,0.0129804,0.0129152
0.0240416,0.0137799,0.0137952,0.0138029,0.0138074,0.0138797,0.0138173
0.0254558,0.0146822,0.0146982,0.014706,0.0147104,0.0147791,0.0147193
0.0268701,0.0155846,0.0156012,0.0156091,0.0156134,0.0156785,0.0156213
0.0282843,0.0164869,0.0165043,0.0165122,0.0165164,0.0165779,0.0165233
0.0296985,0.0174014,0.017419,0.0174268,0.0174308,0.0174903,0.0174372
0.0311127,0.0183158,0.0183338,0.0183414,0.0183453,0.0184027,0.0183512
0.0325269,0.0192303,0.0192486,0.0192561,0.0192598,0.0193151,0.0192651
0.0339411,0.0201448,0.0201633,0.0201707,0.0201742,0.0202275,0.020179
0.0353553,0.0210592,0.0210781,0.0210853,0.0210887,0.0211399,0.021093
0.0367696,0.0219822,0.022001,0.0220081,0.0220113,0.0220612,0.0220153
0.0381838,0.0229051,0.022924,0.0229308,0.0229339,0.0229825,0.0229376
0.039598,0.023828,0.023847,0.0238536,0.0238565,0.0239038,0.02386
0.0410122,0.0247509,0.0247699,0.0247764,0.0247791,0.024825,0.0247823
0.0424264,0.0256738,0.0256929,0.0256991,0.0257017,0.0257463,0.0257047
0.0438406,0.026603,0.026622,0.0266281,0.0266305,0.0266743,0.0266333
0.0452548,0.0275322,0.0275511,0.027557,0.0275593,0.0276022,0.027562
0.046669,0.0284614,0.0284803,0.0284859,0.0284881,0.0285301,0.0284907
0.0480833,0.0293907,0.0294094,0.0294149,0.0294169,0.029458,0.0294193
0.0494975,0.0303199,0.0303385,0.0303438,0.0303457,0.0303859,0.030348
0.0509117,0.031254,0.0312725,0.0312776,0.0312794,0.031319,0.0312817
0.0523259,0.0321881,0.0322065,0.0322114,0.0322132,0.032252,0.0322153
0.0537401,0.0331222,0.0331404,0.0331452,0.0331469,0.0331851,0.033149
0.0551543,0.0340564,0.0340744,0.034079,0.0340806,0.0341182,0.0340826
0.0565685,0.0349905,0.0350084,0.0350129,0.0350144,0.0350512,0.0350163
0.0579828,0.0359286,0.0359463,0.0359507,0.0359521,0.0359885,0.035954
0.059397,0.0368667,0.0368843,0.0368885,0.0368899,0.0369257,0.0368917
0.0608112,0.0378048,0.0378222,0.0378263,0.0378276,0.0378629,0.0378294
0.0622254,0.038743,0.0387601,0.0387641,0.0387654,0.0388002,0.0387671
0.0636396,0.0396811,0.0396981,0.0397019,0.0397031,0.0397374,0.0397048
0.0650538,0.0406225,0.0406393,0.0406431,0.0406443,0.0406781,0.0406459
0.066468,0.0415639,0.0415806,0.0415842,0.0415854,0.0416188,0.0415869
0.0678823,0.0425054,0.0425218,0.0425254,0.0425265,0.0425595,0.042528
0.0692965,0.0434468,0.0434631,0.0434665,0.0434676,0.0435002,0.0434691
0.0707107,0.0443882,0.0444043,0.0444077,0.0444087,0.0444409,0.0444102
0.0721249,0.0453325,0.0453484,0.0453517,0.0453527,0.0453845,0.0453541
0.0735391,0.0462767,0.0462925,0.0462957,0.0462967,0.0463281,0.046298
0.0749533,0.047221,0.0472366,0.0472397,0.0472407,0.0472717,0.047242
0.0763675,0.0481652,0.0481806,0.0481837,0.0481846,0.0482153,0.0481859
0.0777817,0.0491095,0.0491247,0.0491277,0.0491286,0.0491589,0.0491299
0.079196,0.0500561,0.0500712,0.0500741,0.0500751,0.0501051,0.0500763
0.0806102,0.0510028,0.0510177,0.0510206,0.0510215,0.0510512,0.0510227
0.0820244,0.0519495,0.0519643,0.051967,0.0519679,0.0519973,0.0519691
0.0834386,0.0528962,0.0529108,0.0529135,0.0529144,0.0529435,0.0529155
0.0848528,0.0538428,0.0538573,0.0538599,0.0538608,0.0538896,0.0538619
