"arc_length","N=0","N=1","N=2","N=3"
0,-4.73795e-35,-4.14871e-35,-8.36958e-35,-1.43938e-34
0.00141421,0.000353491,0.000250704,0.00019238,0.00015339
0.00282843,0.000706981,0.000501408,0.000384759,0.000306781
0.00424264,0.00106047,0.000752111,0.000577139,0.000460171
0.00565685,0.00141396,0.00100282,0.000769518,0.000613561
0.00707107,0.00176745,0.00125352,0.000961898,0.000766952
0.00848528,0.00192211,0.00127133,0.000931264,0.00071746
0.0098995,0.00207677,0.00128915,0.00090063,0.000667969
0.0113137,0.00223142,0.00130696,0.000869997,0.000618477
0.0127279,0.00238608,0.00132478,0.000839363,0.000568986
0.0141421,0.00254074,0.00134259,0.000808729,0.000519495
0.0155563,0.00257737,0.00129387,0.000753412,0.000472613
0.0169706,0.002614,0.00124514,0.000698094,0.000425732
0.0183848,0.00265064,0.00119642,0.000642777,0.000378851
0.019799,0.00268727,0.00114769,0.000587459,0.00033197
0.0212132,0.0027239,0.00109897,0.000532141,0.000285089
0.0226274,0.00271838,0.00105324,0.000498434,0.000264379
0.0240416,0.00271285,0.00100751,0.000464726,0.000243669
0.0254558,0.00270733,0.000961777,0.000431018,0.000222959
0.0268701,0.00270181,0.000916048,0.000397311,0.000202249
0.0282843,0.00269628,0.000870318,0.000363603,0.000181539
0.0296985,0.00267775,0.000838022,0.00034622,0.000173353
0.0311127,0.00265923,0.000805726,0.000328838,0.000165168
0.0325269,0.0026407,0.00077343,0.000311455,0.000156983
0.0339411,0.00262217,0.000741134,0.000294073,0.000148798
0.0353553,0.00260365,0.000708837,0.00027669,0.000140613
0.0367696,0.00258261,0.000687138,0.000267294,0.000136427
0.0381838,0.00256157,0.000665439,0.000257897,0.000132242
0.039598,0.00254054,0.00064374,0.0002485,0.000128056
0.0410122,0.0025195,0.00062204,0.000239103,0.000123871
0.0424264,0.00249847,0.000600341,0.000229706,0.000119685
0.0438406,0.00247837,0.000585343,0.000223715,0.000116545
0.0452548,0.00245827,0.000570344,0.000217723,0.000113406
0.046669,0.00243817,0.000555346,0.000211731,0.000110266
0.0480833,0.00241807,0.000540347,0.000205739,0.000107126
0.0494975,0.00239797,0.000525349,0.000199747,0.000103986
0.0509117,0.00237971,0.000514371,0.000195232,0.000101231
0.0523259,0.00236146,0.000503394,0.000190717,9.84749e-05
0.0537401,0.0023432,0.000492416,0.000186202,9.57192e-05
