"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0,0,0,0,0,0,0
0.00141421,0.000667137,0.000667491,0.000667768,0.000667997,0.000704623,0.000670444
0.00282843,0.00133427,0.00133498,0.00133554,0.00133599,0.00140925,0.00134089
0.00424264,0.00200141,0.00200247,0.0020033,0.00200399,0.00211387,0.00201133
0.00565685,0.00266855,0.00266996,0.00267107,0.00267199,0.00281849,0.00268178
0.00707107,0.00333568,0.00333745,0.00333884,0.00333999,0.00352312,0.00335222
0.00848528,0.0041846,0.00418705,0.00418876,0.00419007,0.0043568,0.00420108
0.0098995,0.00503352,0.00503665,0.00503868,0.00504015,0.00519049,0.00504993
0.0113137,0.00588244,0.00588624,0.00588859,0.00589023,0.00602418,0.00589878
0.0127279,0.00673135,0.00673584,0.00673851,0.00674032,0.00685787,0.00674764
0.0141421,0.00758027,0.00758543,0.00758843,0.0075904,0.00769155,0.00759649
0.0155563,0.00846396,0.00846953,0.00847257,0.00847447,0.00856943,0.00847984
0.0169706,0.00934766,0.00935363,0.0093567,0.00935854,0.00944732,0.00936319
0.0183848,0.0102313,0.0102377,0.0102408,0.0102426,0.0103252,0.0102465
0.019799,0.011115,0.0111218,0.011125,0.0111267,0.0112031,0.0111299
0.0212132,0.0119987,0.0120059,0.0120091,0.0120107,0.012081,0.0120132
0.0226274,0.0129011,0.0129084,0.0129115,0.012913,0.0129804,0.0129152
0.0240416,0.0138035,0.0138109,0.0138139,0.0138153,0.0138797,0.0138173
0.0254558,0.0147058,0.0147134,0.0147163,0.0147176,0.0147791,0.0147193
0.0268701,0.0156082,0.0156159,0.0156187,0.0156198,0.0156785,0.0156213
0.0282843,0.0165106,0.0165183,0.0165211,0.0165221,0.0165779,0.0165233
0.0296985,0.0174248,0.0174326,0.0174352,0.0174361,0.0174903,0.0174372
0.0311127,0.0183391,0.0183468,0.0183493,0.0183502,0.0184027,0.0183512
0.0325269,0.0192533,0.019261,0.0192634,0.0192642,0.0193151,0.0192651
0.0339411,0.0201676,0.0201752,0.0201775,0.0201782,0.0202275,0.020179
0.0353553,0.0210818,0.0210894,0.0210916,0.0210922,0.0211399,0.021093
0.0367696,0.0220045,0.0220119,0.022014,0.0220146,0.0220612,0.0220153
0.0381838,0.0229271,0.0229345,0.0229364,0.022937,0.0229825,0.0229376
0.039598,0.0238497,0.023857,0.0238588,0.0238594,0.0239038,0.02386
0.0410122,0.0247723,0.0247795,0.0247812,0.0247817,0.024825,0.0247823
0.0424264,0.0256949,0.025702,0.0257036,0.0257041,0.0257463,0.0257047
0.0438406,0.0266238,0.0266308,0.0266324,0.0266328,0.0266743,0.0266333
0.0452548,0.0275527,0.0275596,0.0275611,0.0275615,0.0276022,0.027562
0.046669,0.0284815,0.0284883,0.0284898,0.0284902,0.0285301,0.0284907
0.0480833,0.0294104,0.0294171,0.0294185,0.0294189,0.029458,0.0294193
0.0494975,0.0303393,0.0303459,0.0303472,0.0303476,0.0303859,0.030348
0.0509117,0.0312731,0.0312796,0.0312809,0.0312813,0.031319,0.0312817
