"arc_length","N=0","N=1","N=2","N=3"
0,0,0,0,0
0.00141421,0.000292551,0.000208273,0.000155277,0.00012219
0.00282843,0.000585102,0.000416545,0.000310554,0.000244379
0.00424264,0.000877653,0.000624818,0.000465831,0.000366569
0.00565685,0.0011702,0.000833091,0.000621108,0.000488758
0.00707107,0.00146276,0.00104136,0.000776385,0.000610948
0.00848528,0.00151349,0.000987342,0.000696757,0.000527647
0.0098995,0.00156422,0.000933321,0.000617129,0.000444346
0.0113137,0.00161495,0.000879299,0.0005375,0.000361045
0.0127279,0.00166568,0.000825278,0.000457872,0.000277744
0.0141421,0.00171641,0.000771257,0.000378244,0.000194443
0.0155563,0.00170326,0.00071822,0.000338695,0.000170234
0.0169706,0.00169011,0.000665183,0.000299147,0.000146026
0.0183848,0.00167696,0.000612145,0.000259598,0.000121817
0.019799,0.00166381,0.000559108,0.000220049,9.76084e-05
0.0212132,0.00165066,0.000506071,0.000180501,7.33998e-05
0.0226274,0.00162834,0.000477988,0.000168508,6.99843e-05
0.0240416,0.00160603,0.000449904,0.000156516,6.65689e-05
0.0254558,0.00158371,0.000421821,0.000144524,6.31535e-05
0.0268701,0.00156139,0.000393737,0.000132531,5.9738e-05
0.0282843,0.00153908,0.000365654,0.000120539,5.63226e-05
0.0296985,0.00151881,0.000350776,0.000115859,5.46317e-05
0.0311127,0.00149855,0.000335899,0.000111178,5.29408e-05
0.0325269,0.00147828,0.000321021,0.000106498,5.12499e-05
0.0339411,0.00145802,0.000306144,0.000101818,4.9559e-05
0.0353553,0.00143776,0.000291266,9.71373e-05,4.78681e-05
0.0367696,0.0014208,0.000282174,9.40148e-05,4.59797e-05
0.0381838,0.00140384,0.000273083,9.08924e-05,4.40912e-05
0.039598,0.00138688,0.000263991,8.777e-05,4.22028e-05
0.0410122,0.00136993,0.000254899,8.46475e-05,4.03143e-05
0.0424264,0.00135297,0.000245807,8.15251e-05,3.84259e-05
0.0438406,0.00133879,0.000239427,7.89805e-05,3.67941e-05
0.0452548,0.0013246,0.000233046,7.64358e-05,3.51624e-05
0.046669,0.00131042,0.000226665,7.38912e-05,3.35306e-05
0.0480833,0.00129624,0.000220285,7.13466e-05,3.18989e-05
0.0494975,0.00128205,0.000213904,6.88019e-05,3.02671e-05
0.0509117,0.00127001,0.000209019,6.67179e-05,2.90328e-05
0.0523259,0.00125796,0.000204135,6.46339e-05,2.77985e-05
0.0537401,0.00124591,0.00019925,6.25499e-05,2.65641e-05
0.0551543,0.00123386,0.000194365,6.04658e-05,2.53298e-05
0.0565685,0.00122182,0.00018948,5.83818e-05,2.40954e-05
0.0579828,0.00121141,0.000185558,5.66987e-05,2.31865e-05
0.059397,0.00120101,0.000181636,5.50155e-05,2.22776e-05
0.0608112,0.00119061,0.000177713,5.33324e-05,2.13687e-05
0.0622254,0.00118021,0.000173791,5.16492e-05,2.04598e-05
0.0636396,0.0011698,0.000169868,4.99661e-05,1.95509e-05
0.0650538,0.00116069,0.00016663,4.86086e-05,1.88705e-05
0.066468,0.00115158,0.000163392,4.72512e-05,1.81902e-05
0.0678823,0.00114247,0.000160154,4.58938e-05,1.75099e-05
0.0692965,0.00113336,0.000156916,4.45363e-05,1.68296e-05
0.0707107,0.00112425,0.000153678,4.31789e-05,1.61492e-05
0.0721249,0.00111618,0.000150955,4.20757e-05,1.56265e-05
0.0735391,0.0011081,0.000148232,4.09726e-05,1.51037e-05
0.0749533,0.00110003,0.000145509,3.98694e-05,1.45809e-05
0.0763675,0.00109196,0.000142786,3.87662e-05,1.40582e-05
0.0777817,0.00108388,0.000140063,3.76631e-05,1.35354e-05
0.079196,0.00107666,0.000137742,3.67565e-05,1.31242e-05
0.0806102,0.00106943,0.00013542,3.58499e-05,1.27129e-05
0.0820244,0.0010622,0.000133098,3.49434e-05,1.23017e-05
0.0834386,0.00105498,0.000130776,3.40368e-05,1.18904e-05
0.0848528,0.00104775,0.000128454,3.31303e-05,1.14792e-05
0.086267,0.00104123,0.000126452,3.23766e-05,1.11496e-05
0.0876812,0.00103471,0.00012445,3.16229e-05,1.08199e-05
0.0890955,0.00102819,0.000122447,3.08692e-05,1.04903e-05
0.0905097,0.00102167,0.000120445,3.01155e-05,1.01607e-05
0.0919239,0.00101515,0.000118442,2.93618e-05,9.83108e-06
0.0933381,0.00100922,0.000116699,2.87283e-05,9.56297e-06
0.0947523,0.00100329,0.000114955,2.80949e-05,9.29486e-06
0.0961665,0.000997364,0.000113212,2.74614e-05,9.02675e-06
0.0975807,0.000991437,0.000111468,2.6828e-05,8.75864e-06
0.0989949,0.000985509,0.000109724,2.61945e-05,8.49053e-06
0.100409,0.000980089,0.000108194,2.56569e-05,8.26979e-06
0.101823,0.000974668,0.000106663,2.51193e-05,8.04905e-06
0.103238,0.000969248,0.000105132,2.45817e-05,7.82832e-06
0.104652,0.000963827,0.000103601,2.40441e-05,7.60758e-06
0.106066,0.000958406,0.00010207,2.35065e-05,7.38684e-06
0.10748,0.000953422,0.000100716,2.30462e-05,7.20323e-06
0.108894,0.000948438,9.93619e-05,2.2586e-05,7.01961e-06
0.110309,0.000943454,9.80079e-05,2.21257e-05,6.83599e-06
0.111723,0.000938471,9.66539e-05,2.16655e-05,6.65238e-06
0.113137,0.000933487,9.52999e-05,2.12052e-05,6.46876e-06
0.114551,0.000928882,9.40946e-05,2.08081e-05,6.31463e-06
0.115966,0.000924278,9.28893e-05,2.0411e-05,6.16051e-06
0.11738,0.000919674,9.1684e-05,2.00138e-05,6.00638e-06
0.118794,0.00091507,9.04787e-05,1.96167e-05,5.85226e-06
0.120208,0.000910465,8.92734e-05,1.92196e-05,5.69813e-06
0.121622,0.000906194,8.81942e-05,1.88746e-05,5.56772e-06
0.123037,0.000901922,8.71151e-05,1.85295e-05,5.4373e-06
0.124451,0.000897651,8.60359e-05,1.81845e-05,5.30689e-06
0.125865,0.00089338,8.49568e-05,1.78394e-05,5.17647e-06
0.127279,0.000889108,8.38776e-05,1.74944e-05,5.04605e-06
0.128693,0.00088513,8.29064e-05,1.71927e-05,4.9349e-06
0.130108,0.000881153,8.19351e-05,1.6891e-05,4.82374e-06
0.131522,0.000877175,8.09639e-05,1.65893e-05,4.71259e-06
0.132936,0.000873197,7.99927e-05,1.62876e-05,4.60143e-06
0.13435,0.00086922,7.90214e-05,1.5986e-05,4.49028e-06
0.135765,0.000865503,7.81432e-05,1.57207e-05,4.39491e-06
0.137179,0.000861786,7.7265e-05,1.54554e-05,4.29955e-06
0.138593,0.000858069,7.63868e-05,1.51901e-05,4.20418e-06
0.140007,0.000854353,7.55086e-05,1.49248e-05,4.10882e-06
0.141421,0.000850636,7.46303e-05,1.46595e-05,4.01346e-06
0.142836,0.000847152,7.38328e-05,1.4425e-05,3.93115e-06
0.14425,0.000843669,7.30353e-05,1.41905e-05,3.84884e-06
0.145664,0.000840185,7.22378e-05,1.3956e-05,3.76653e-06
0.147078,0.000836701,7.14403e-05,1.37215e-05,3.68422e-06
0.148492,0.000833218,7.06428e-05,1.3487e-05,3.60191e-06
0.149907,0.000829943,6.99157e-05,1.32787e-05,3.53048e-06
0.151321,0.000826669,6.91886e-05,1.30704e-05,3.45904e-06
0.152735,0.000823394,6.84616e-05,1.28621e-05,3.38761e-06
0.154149,0.00082012,6.77345e-05,1.26538e-05,3.31618e-06
0.155563,0.000816846,6.70074e-05,1.24455e-05,3.24475e-06
0.156978,0.00081376,6.63422e-05,1.22597e-05,3.18244e-06
0.158392,0.000810675,6.5677e-05,1.20739e-05,3.12013e-06
0.159806,0.000807589,6.50118e-05,1.18881e-05,3.05782e-06
