"arc_length","f_1578","f_1705","f_1834","f_1978","f_1889","f_1881"
0,0,0,0,0,0,0
0.00141421,0.000956822,0.000958823,0.000959833,0.000961033,0.00090693,0.000967456
0.00282843,0.00191364,0.00191765,0.00191967,0.00192207,0.00181386,0.00193491
0.00424264,0.00287047,0.00287647,0.0028795,0.0028831,0.00272079,0.00290237
0.00565685,0.00382729,0.00383529,0.00383933,0.00384413,0.00362772,0.00386982
0.00707107,0.00478411,0.00479412,0.00479916,0.00480516,0.00453465,0.00483728
0.00848528,0.00574093,0.00575294,0.005759,0.0057662,0.00544158,0.00580474
0.0098995,0.00669775,0.00671176,0.00671883,0.00672723,0.00634851,0.00677219
0.0113137,0.00765458,0.00767058,0.00767866,0.00768826,0.00725544,0.00773965
0.0127279,0.0086114,0.00862941,0.00863849,0.00864929,0.00816237,0.0087071
0.0141421,0.00956822,0.00958823,0.00959833,0.00961033,0.0090693,0.00967456
0.0155563,0.010525,0.0105471,0.0105582,0.0105714,0.00997623,0.010642
0.0169706,0.0114819,0.0115059,0.011518,0.0115324,0.0108832,0.0116095
0.0183848,0.0124387,0.0124647,0.0124778,0.0124934,0.0117901,0.0125769
0.019799,0.0133955,0.0134235,0.0134377,0.0134545,0.012697,0.0135444
0.0212132,0.0143523,0.0143823,0.0143975,0.0144155,0.0136039,0.0145118
0.0226274,0.0153092,0.0153412,0.0153573,0.0153765,0.0145109,0.0154793
0.0240416,0.016266,0.0163,0.0163172,0.0163376,0.0154178,0.0164468
0.0254558,0.0172228,0.0172588,0.017277,0.0172986,0.0163247,0.0174142
0.0268701,0.0181796,0.0182176,0.0182368,0.0182596,0.0172317,0.0183817
0.0282843,0.0191364,0.0191765,0.0191967,0.0192207,0.0181386,0.0193491
0.0296985,0.0200933,0.0201353,0.0201565,0.0201817,0.0190455,0.0203166
0.0311127,0.0210501,0.0210941,0.0211163,0.0211427,0.0199525,0.021284
0.0325269,0.0220069,0.0220529,0.0220761,0.0221038,0.0208594,0.0222515
0.0339411,0.0229637,0.0230118,0.023036,0.0230648,0.0217663,0.0232189
0.0353553,0.0239206,0.0239706,0.0239958,0.0240258,0.0226733,0.0241864
0.0367696,0.0247165,0.0247669,0.0247926,0.0248226,0.0235994,0.0249793
0.0381838,0.0255124,0.0255633,0.0255894,0.0256194,0.0245255,0.0257721
0.039598,0.0263083,0.0263596,0.0263862,0.0264162,0.0254517,0.026565
0.0410122,0.0271042,0.0271559,0.027183,0.027213,0.0263778,0.0273579
0.0424264,0.0279001,0.0279523,0.0279798,0.0280098,0.027304,0.0281508
0.0438406,0.028696,0.0287486,0.0287765,0.0288066,0.0282301,0.0289436
0.0452548,0.0294919,0.0295449,0.0295733,0.0296034,0.0291563,0.0297365
0.046669,0.0302878,0.0303413,0.0303701,0.0304001,0.0300824,0.0305294
0.0480833,0.0310838,0.0311376,0.0311669,0.0311969,0.0310086,0.0313223
0.0494975,0.0318797,0.0319339,0.0319637,0.0319937,0.0319347,0.0321151
0.0509117,0.0326756,0.0327303,0.0327605,0.0327905,0.0328609,0.032908
0.0523259,0.0334715,0.0335266,0.0335573,0.0335873,0.033787,0.0337009
0.0537401,0.0342674,0.034323,0.0343541,0.0343841,0.0347132,0.0344937
0.0551543,0.0350633,0.0351193,0.0351508,0.0351809,0.0356393,0.0352866
0.0565685,0.0358592,0.0359156,0.0359476,0.0359777,0.0365655,0.0360795
0.0579828,0.0366551,0.036712,0.0367444,0.0367745,0.0374916,0.0368724
0.059397,0.037451,0.0375083,0.0375412,0.0375713,0.0384177,0.0376652
0.0608112,0.038247,0.0383046,0.038338,0.0383681,0.0393439,0.0384581
0.0622254,0.0390429,0.039101,0.0391348,0.0391649,0.04027,0.039251
0.0636396,0.0398388,0.0398973,0.0399316,0.0399616,0.0411962,0.0400438
0.0650538,0.0406347,0.0406937,0.0407284,0.0407584,0.0421223,0.0408367
0.066468,0.0414306,0.04149,0.0415251,0.0415552,0.0430485,0.0416296
0.0678823,0.0422265,0.0422863,0.0423219,0.042352,0.0439746,0.0424225
0.0692965,0.0430224,0.0430827,0.0431187,0.0431488,0.0449008,0.0432153
0.0707107,0.0438183,0.043879,0.0439155,0.0439456,0.0458269,0.0440082
0.0721249,0.0449003,0.0449662,0.0450041,0.0450344,0.0467663,0.0450972
0.0735391,0.0459823,0.0460533,0.0460927,0.0461233,0.0477056,0.0461861
0.0749533,0.0470643,0.0471405,0.0471812,0.0472121,0.048645,0.0472751
0.0763675,0.0481464,0.0482277,0.0482698,0.048301,0.0495844,0.048364
0.0777817,0.0492284,0.0493149,0.0493584,0.0493898,0.0505237,0.049453
0.079196,0.0503104,0.050402,0.0504469,0.0504787,0.0514631,0.050542
0.0806102,0.0513924,0.0514892,0.0515355,0.0515675,0.0524024,0.0516309
0.0820244,0.0524744,0.0525764,0.0526241,0.0526563,0.0533418,0.0527199
0.0834386,0.0535564,0.0536636,0.0537127,0.0537452,0.0542811,0.0538089
0.0848528,0.0546384,0.0547507,0.0548012,0.054834,0.0552205,0.0548978
0.086267,0.0557204,0.0558379,0.0558898,0.0559229,0.0561599,0.0559868
0.0876812,0.0568024,0.0569251,0.0569784,0.0570117,0.0570992,0.0570757
0.0890955,0.0578844,0.0580123,0.0580669,0.0581005,0.0580386,0.0581647
0.0905097,0.0589664,0.0590994,0.0591555,0.0591894,0.0589779,0.0592537
0.0919239,0.0600484,0.0601866,0.0602441,0.0602782,0.0599173,0.0603426
0.0933381,0.0611304,0.0612738,0.0613327,0.0613671,0.0608567,0.0614316
0.0947523,0.0622125,0.062361,0.0624212,0.0624559,0.061796,0.0625205
0.0961665,0.0632945,0.0634481,0.0635098,0.0635447,0.0627354,0.0636095
0.0975807,0.0643765,0.0645353,0.0645984,0.0646336,0.0636747,0.0646985
0.0989949,0.0654585,0.0656225,0.0656869,0.0657224,0.0646141,0.0657874
0.100409,0.0665405,0.0667096,0.0667755,0.0668113,0.0655534,0.0668764
0.101823,0.0676225,0.0677968,0.0678641,0.0679001,0.0664928,0.0679654
0.103238,0.0687045,0.068884,0.0689527,0.0689889,0.0674322,0.0690543
0.104652,0.0697865,0.0699712,0.0700412,0.0700778,0.0683715,0.0701433
0.106066,0.0708685,0.0710583,0.0711298,0.0711666,0.0693109,0.0712322
