"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0,0,0,0,0,0,0
0.00141421,0.000812448,0.000812908,0.000813155,0.000813423,0.000848057,0.000815315
0.00282843,0.0016249,0.00162582,0.00162631,0.00162685,0.00169611,0.00163063
0.00424264,0.00243734,0.00243872,0.00243946,0.00244027,0.00254417,0.00244595
0.00565685,0.00324979,0.00325163,0.00325262,0.00325369,0.00339223,0.00326126
0.00707107,0.00406224,0.00406454,0.00406577,0.00406712,0.00424029,0.00407658
0.00848528,0.00487468,0.00487745,0.00487893,0.00488054,0.00508834,0.00489189
0.0098995,0.00568713,0.00569036,0.00569208,0.00569396,0.0059364,0.00570721
0.0113137,0.00649958,0.00650327,0.00650524,0.00650739,0.00678446,0.00652252
0.0127279,0.00731203,0.00731617,0.00731839,0.00732081,0.00763251,0.00733784
0.0141421,0.00812447,0.00812908,0.00813155,0.00813423,0.00848057,0.00815315
0.0155563,0.00893692,0.00894199,0.0089447,0.00894766,0.00932863,0.00896847
0.0169706,0.00974937,0.0097549,0.00975786,0.00976108,0.0101767,0.00978378
0.0183848,0.010599,0.0106052,0.0106086,0.0106122,0.0110461,0.0106358
0.019799,0.0114858,0.011493,0.011497,0.0115009,0.011937,0.0115245
0.0212132,0.0123725,0.0123808,0.0123853,0.0123897,0.0128279,0.0124133
0.0226274,0.0132593,0.0132685,0.0132736,0.0132784,0.0137187,0.013302
0.0240416,0.0141461,0.0141563,0.014162,0.0141672,0.0146096,0.0141907
0.0254558,0.0150328,0.0150441,0.0150503,0.015056,0.0155005,0.0150794
0.0268701,0.0159196,0.0159318,0.0159387,0.0159447,0.0163913,0.0159682
0.0282843,0.0168064,0.0168196,0.016827,0.0168335,0.0172822,0.0168569
0.0296985,0.0176932,0.0177074,0.0177153,0.0177222,0.0181731,0.0177456
0.0311127,0.0185799,0.0185951,0.0186037,0.018611,0.0190639,0.0186343
0.0325269,0.0194667,0.0194829,0.019492,0.0194997,0.0199548,0.0195231
0.0339411,0.0203535,0.0203707,0.0203804,0.0203885,0.0208456,0.0204118
0.0353553,0.0212403,0.0212585,0.0212687,0.0212773,0.0217365,0.0213005
0.0367696,0.0221617,0.02218,0.0221902,0.0221985,0.0226522,0.0222202
0.0381838,0.0230832,0.0231016,0.0231117,0.0231197,0.0235678,0.0231399
0.039598,0.0240046,0.0240232,0.0240332,0.0240409,0.0244835,0.0240596
0.0410122,0.0249261,0.0249447,0.0249547,0.0249622,0.0253992,0.0249793
0.0424264,0.0258475,0.0258663,0.0258762,0.0258834,0.0263148,0.0258991
0.0438406,0.026769,0.0267879,0.0267977,0.0268046,0.0272305,0.0268188
0.0452548,0.0276904,0.0277094,0.0277192,0.0277258,0.0281462,0.0277385
0.046669,0.0286118,0.028631,0.0286407,0.0286471,0.0290618,0.0286582
0.0480833,0.0295333,0.0295526,0.0295622,0.0295683,0.0299775,0.0295779
0.0494975,0.0304547,0.0304742,0.0304837,0.0304895,0.0308931,0.0304976
0.0509117,0.0313762,0.0313957,0.0314052,0.0314107,0.0318088,0.0314173
0.0523259,0.0322976,0.0323173,0.0323267,0.032332,0.0327245,0.032337
0.0537401,0.0332261,0.0332458,0.033255,0.0332601,0.0336477,0.0332644
0.0551543,0.0341617,0.0341813,0.0341903,0.0341952,0.0345785,0.0341995
0.0565685,0.0350972,0.0351167,0.0351255,0.0351302,0.0355093,0.0351346
0.0579828,0.0360328,0.0360522,0.0360608,0.0360653,0.0364402,0.0360696
0.059397,0.0369683,0.0369876,0.0369961,0.0370003,0.037371,0.0370047
0.0608112,0.0379039,0.0379231,0.0379313,0.0379354,0.0383018,0.0379398
