"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0,0,0,0,0,0,0
0.00141421,0.000809235,0.000810037,0.000810493,0.000810796,0.000848057,0.000815315
0.00282843,0.00161847,0.00162007,0.00162099,0.00162159,0.00169611,0.00163063
0.00424264,0.00242771,0.00243011,0.00243148,0.00243239,0.00254417,0.00244595
0.00565685,0.00323694,0.00324015,0.00324197,0.00324318,0.00339223,0.00326126
0.00707107,0.00404618,0.00405018,0.00405246,0.00405398,0.00424029,0.00407658
0.00848528,0.00485541,0.00486022,0.00486296,0.00486478,0.00508834,0.00489189
0.0098995,0.00566465,0.00567026,0.00567345,0.00567557,0.0059364,0.00570721
0.0113137,0.00647388,0.00648029,0.00648394,0.00648637,0.00678446,0.00652252
0.0127279,0.00728312,0.00729033,0.00729443,0.00729716,0.00763251,0.00733784
0.0141421,0.00809235,0.00810037,0.00810493,0.00810796,0.00848057,0.00815315
0.0155563,0.00890159,0.0089104,0.00891542,0.00891875,0.00932863,0.00896847
0.0169706,0.00971082,0.00972044,0.00972591,0.00972955,0.0101767,0.00978378
0.0183848,0.0105574,0.0105683,0.0105745,0.0105786,0.0110461,0.0106358
0.019799,0.0114414,0.011454,0.0114611,0.011466,0.011937,0.0115245
0.0212132,0.0123253,0.0123397,0.0123478,0.0123533,0.0128279,0.0124133
0.0226274,0.0132093,0.0132254,0.0132345,0.0132406,0.0137187,0.013302
0.0240416,0.0140932,0.014111,0.0141211,0.014128,0.0146096,0.0141907
0.0254558,0.0149772,0.0149967,0.0150078,0.0150153,0.0155005,0.0150794
0.0268701,0.0158611,0.0158824,0.0158944,0.0159027,0.0163913,0.0159682
0.0282843,0.0167451,0.0167681,0.0167811,0.01679,0.0172822,0.0168569
0.0296985,0.017629,0.0176538,0.0176677,0.0176773,0.0181731,0.0177456
0.0311127,0.018513,0.0185395,0.0185544,0.0185647,0.0190639,0.0186343
0.0325269,0.0193969,0.0194251,0.0194411,0.019452,0.0199548,0.0195231
0.0339411,0.0202809,0.0203108,0.0203277,0.0203394,0.0208456,0.0204118
0.0353553,0.0211648,0.0211965,0.0212144,0.0212267,0.0217365,0.0213005
0.0367696,0.0220874,0.0221199,0.0221378,0.0221502,0.0226522,0.0222202
0.0381838,0.02301,0.0230433,0.0230613,0.0230737,0.0235678,0.0231399
0.039598,0.0239326,0.0239667,0.0239848,0.0239972,0.0244835,0.0240596
0.0410122,0.0248553,0.0248901,0.0249082,0.0249207,0.0253992,0.0249793
0.0424264,0.0257779,0.0258135,0.0258317,0.0258443,0.0263148,0.0258991
0.0438406,0.0267005,0.0267369,0.0267552,0.0267678,0.0272305,0.0268188
0.0452548,0.0276231,0.0276603,0.0276786,0.0276913,0.0281462,0.0277385
0.046669,0.0285457,0.0285837,0.0286021,0.0286148,0.0290618,0.0286582
0.0480833,0.0294683,0.0295071,0.0295255,0.0295383,0.0299775,0.0295779
0.0494975,0.0303909,0.0304305,0.030449,0.0304618,0.0308931,0.0304976
0.0509117,0.0313136,0.0313539,0.0313725,0.0313853,0.0318088,0.0314173
0.0523259,0.0322362,0.0322773,0.0322959,0.0323088,0.0327245,0.032337
0.0537401,0.0331655,0.0332071,0.0332256,0.0332385,0.0336477,0.0332644
0.0551543,0.0341014,0.0341433,0.0341616,0.0341742,0.0345785,0.0341995
0.0565685,0.0350374,0.0350795,0.0350975,0.03511,0.0355093,0.0351346
0.0579828,0.0359734,0.0360157,0.0360335,0.0360457,0.0364402,0.0360696
0.059397,0.0369093,0.0369519,0.0369694,0.0369815,0.037371,0.0370047
0.0608112,0.0378453,0.0378881,0.0379054,0.0379173,0.0383018,0.0379398
0.0622254,0.0387813,0.0388243,0.0388413,0.038853,0.0392326,0.0388749
0.0636396,0.0397172,0.0397605,0.0397773,0.0397888,0.0401634,0.03981
0.0650538,0.0406532,0.0406967,0.0407132,0.0407245,0.0410942,0.0407451
0.066468,0.0415892,0.0416329,0.0416492,0.0416603,0.0420251,0.0416801
0.0678823,0.0425251,0.0425691,0.0425851,0.042596,0.0429559,0.0426152
0.0692965,0.0434611,0.0435053,0.0435211,0.0435318,0.0438867,0.0435503
0.0707107,0.0443971,0.0444415,0.044457,0.0444676,0.0448175,0.0444854
0.0721249,0.0453421,0.0453864,0.0454017,0.0454119,0.0457581,0.0454294
0.0735391,0.0462871,0.0463313,0.0463463,0.0463563,0.0466988,0.0463734
0.0749533,0.0472322,0.0472762,0.047291,0.0473006,0.0476394,0.0473174
0.0763675,0.0481772,0.0482211,0.0482356,0.048245,0.04858,0.0482614
0.0777817,0.0491222,0.0491661,0.0491803,0.0491893,0.0495206,0.0492054
0.079196,0.0500672,0.050111,0.0501249,0.0501337,0.0504612,0.0501494
0.0806102,0.0510123,0.0510559,0.0510696,0.051078,0.0514018,0.0510934
0.0820244,0.0519573,0.0520008,0.0520142,0.0520224,0.0523424,0.0520374
0.0834386,0.0529023,0.0529457,0.0529589,0.0529667,0.0532831,0.0529814
0.0848528,0.0538473,0.0538907,0.0539035,0.0539111,0.0542237,0.0539254
0.086267,0.0547924,0.0548356,0.0548482,0.0548555,0.0551643,0.0548694
0.0876812,0.0557374,0.0557805,0.0557928,0.0557998,0.0561049,0.0558133
0.0890955,0.0566852,0.0567281,0.0567403,0.056747,0.0570489,0.0567603
0.0905097,0.0576358,0.0576785,0.0576905,0.057697,0.0579962,0.0577101
0.0919239,0.0585863,0.0586289,0.0586406,0.058647,0.0589435,0.05866
0.0933381,0.0595369,0.0595793,0.0595908,0.0595971,0.0598908,0.0596098
0.0947523,0.0604875,0.0605297,0.060541,0.0605471,0.0608382,0.0605597
0.0961665,0.0614381,0.06148,0.0614912,0.0614971,0.0617855,0.0615095
0.0975807,0.0623886,0.0624304,0.0624414,0.0624471,0.0627328,0.0624594
0.0989949,0.0633392,0.0633808,0.0633916,0.0633971,0.0636801,0.0634092
0.100409,0.0642898,0.0643312,0.0643418,0.0643472,0.0646275,0.0643591
0.101823,0.0652404,0.0652815,0.065292,0.0652972,0.0655748,0.065309
0.103238,0.0661909,0.0662319,0.0662422,0.0662472,0.0665221,0.0662588
0.104652,0.0671415,0.0671823,0.0671924,0.0671972,0.0674694,0.0672087
0.106066,0.0680921,0.0681327,0.0681426,0.0681472,0.0684167,0.0681585
0.10748,0.0690467,0.0690871,0.0690969,0.0691014,0.0693689,0.0691126
0.108894,0.0700014,0.0700415,0.0700512,0.0700556,0.070321,0.0700666
0.110309,0.070956,0.0709959,0.0710054,0.0710098,0.0712732,0.0710207
0.111723,0.0719106,0.0719503,0.0719597,0.071964,0.0722253,0.0719748
0.113137,0.0728652,0.0729048,0.072914,0.0729182,0.0731775,0.0729288
0.114551,0.0738199,0.0738592,0.0738683,0.0738724,0.0741296,0.0738829
0.115966,0.0747745,0.0748136,0.0748226,0.0748266,0.0750818,0.0748369
0.11738,0.0757291,0.075768,0.0757769,0.0757808,0.0760339,0.075791
0.118794,0.0766838,0.0767224,0.0767312,0.076735,0.0769861,0.076745
0.120208,0.0776384,0.0776769,0.0776854,0.0776892,0.0779383,0.0776991
0.121622,0.078593,0.0786313,0.0786397,0.0786434,0.0788904,0.0786532
0.123037,0.0795477,0.0795857,0.079594,0.0795976,0.0798426,0.0796072
0.124451,0.0805039,0.0805417,0.0805499,0.0805533,0.0807965,0.0805629
0.125865,0.0814616,0.0814992,0.0815073,0.0815107,0.0817523,0.0815202
0.127279,0.0824193,0.0824567,0.0824647,0.0824681,0.0827081,0.0824774
0.128693,0.083377,0.0834142,0.0834222,0.0834255,0.0836639,0.0834347
0.130108,0.0843347,0.0843717,0.0843796,0.0843829,0.0846197,0.084392
0.131522,0.0852925,0.0853293,0.085337,0.0853403,0.0855755,0.0853492
0.132936,0.0862502,0.0862868,0.0862945,0.0862977,0.0865313,0.0863065
0.13435,0.0872079,0.0872443,0.0872519,0.0872551,0.0874871,0.0872638
0.135765,0.0881656,0.0882018,0.0882093,0.0882125,0.0884429,0.088221
0.137179,0.0891233,0.0891593,0.0891668,0.0891699,0.0893987,0.0891783
0.138593,0.0900811,0.0901169,0.0901242,0.0901273,0.0903545,0.0901356
0.140007,0.0910388,0.0910744,0.0910816,0.0910847,0.0913103,0.0910928
0.141421,0.0919965,0.0920319,0.0920391,0.0920421,0.0922661,0.0920501
0.142836,0.0929567,0.0929919,0.092999,0.093002,0.0932247,0.0930099
0.14425,0.0939169,0.0939519,0.0939589,0.0939619,0.0941834,0.0939697
0.145664,0.0948771,0.0949119,0.0949189,0.0949219,0.095142,0.0949295
0.147078,0.0958372,0.0958719,0.0958788,0.0958818,0.0961006,0.0958894
0.148492,0.0967974,0.0968319,0.0968388,0.0968417,0.0970593,0.0968492
0.149907,0.0977576,0.0977919,0.0977987,0.0978016,0.0980179,0.097809
0.151321,0.0987178,0.0987519,0.0987587,0.0987615,0.0989766,0.0987688
0.152735,0.099678,0.0997119,0.0997186,0.0997215,0.0999352,0.0997286
0.154149,0.100638,0.100672,0.100679,0.100681,0.100894,0.100688
0.155563,0.101598,0.101632,0.101638,0.101641,0.101853,0.101648
0.156978,0.102559,0.102592,0.102598,0.102601,0.102811,0.102608
0.158392,0.103519,0.103552,0.103558,0.103561,0.10377,0.103568
0.159806,0.10448,0.104513,0.104519,0.104522,0.10473,0.104529
0.16122,0.105442,0.105475,0.105481,0.105484,0.105691,0.105491
0.162635,0.106404,0.106437,0.106443,0.106446,0.106652,0.106453
0.164049,0.107367,0.107399,0.107405,0.107408,0.107612,0.107414
0.165463,0.108329,0.108361,0.108367,0.10837,0.108573,0.108376
0.166877,0.109291,0.109323,0.109329,0.109332,0.109534,0.109338
0.168291,0.110253,0.110285,0.110291,0.110294,0.110495,0.1103
0.169706,0.111215,0.111247,0.111253,0.111256,0.111456,0.111262
0.17112,0.112178,0.112209,0.112215,0.112218,0.112417,0.112224
