"arc_length","N=0","N=1","N=2","N=3"
0,-1.1363e-35,7.27498e-35,1.38867e-34,1.20752e-34
0.00141421,0.000279757,0.000171158,0.000115827,8.20025e-05
0.00282843,0.000559513,0.000342316,0.000231653,0.000164005
0.00424264,0.00083927,0.000513475,0.00034748,0.000246007
0.00565685,0.00111903,0.000684633,0.000463307,0.00032801
0.00707107,0.00139878,0.000855791,0.000579134,0.000410012
0.00848528,0.00147025,0.000826643,0.000530772,0.000362522
0.0098995,0.00154171,0.000797495,0.000482411,0.000315031
0.0113137,0.00161317,0.000768346,0.00043405,0.00026754
0.0127279,0.00168463,0.000739198,0.000385688,0.00022005
0.0141421,0.00175609,0.00071005,0.000337327,0.000172559
0.0155563,0.00175059,0.000667047,0.000306268,0.000154049
0.0169706,0.00174508,0.000624044,0.00027521,0.000135539
0.0183848,0.00173957,0.000581042,0.000244151,0.000117029
0.019799,0.00173406,0.000538039,0.000213093,9.85195e-05
0.0212132,0.00172856,0.000495036,0.000182034,8.00095e-05
0.0226274,0.00170835,0.000469118,0.000170179,7.53961e-05
0.0240416,0.00168815,0.0004432,0.000158323,7.07827e-05
0.0254558,0.00166795,0.000417283,0.000146467,6.61693e-05
0.0268701,0.00164775,0.000391365,0.000134612,6.15559e-05
0.0282843,0.00162754,0.000365447,0.000122756,5.69425e-05
0.0296985,0.00160735,0.000350713,0.000117569,5.47982e-05
0.0311127,0.00158716,0.00033598,0.000112382,5.26538e-05
0.0325269,0.00156696,0.000321246,0.000107195,5.05094e-05
0.0339411,0.00154677,0.000306512,0.000102009,4.8365e-05
0.0353553,0.00152658,0.000291779,9.68218e-05,4.62207e-05
0.0367696,0.00150906,0.000282588,9.35784e-05,4.44283e-05
0.0381838,0.00149155,0.000273398,9.03349e-05,4.26359e-05
0.039598,0.00147404,0.000264208,8.70914e-05,4.08435e-05
0.0410122,0.00145653,0.000255018,8.3848e-05,3.90512e-05
0.0424264,0.00143902,0.000245827,8.06045e-05,3.72588e-05
0.0438406,0.00142415,0.000239404,7.81064e-05,3.57622e-05
0.0452548,0.00140928,0.00023298,7.56083e-05,3.42655e-05
0.046669,0.00139441,0.000226556,7.31103e-05,3.27689e-05
0.0480833,0.00137954,0.000220133,7.06122e-05,3.12723e-05
0.0494975,0.00136467,0.000213709,6.81141e-05,2.97757e-05
0.0509117,0.00135196,0.000208826,6.60927e-05,2.86118e-05
0.0523259,0.00133924,0.000203943,6.40713e-05,2.74479e-05
0.0537401,0.00132652,0.00019906,6.20499e-05,2.62841e-05
0.0551543,0.00131381,0.000194177,6.00285e-05,2.51202e-05
0.0565685,0.00130109,0.000189294,5.80071e-05,2.39564e-05
0.0579828,0.00129008,0.000185388,5.6366e-05,2.30753e-05
0.059397,0.00127906,0.000181482,5.47249e-05,2.21942e-05
0.0608112,0.00126804,0.000177575,5.30838e-05,2.13131e-05
0.0622254,0.00125702,0.000173669,5.14427e-05,2.04321e-05
0.0636396,0.00124601,0.000169763,4.98015e-05,1.9551e-05
0.0650538,0.00123634,0.000166541,4.84677e-05,1.88807e-05
0.066468,0.00122667,0.000163319,4.71338e-05,1.82105e-05
0.0678823,0.00121701,0.000160097,4.57999e-05,1.75402e-05
0.0692965,0.00120734,0.000156875,4.4466e-05,1.687e-05
0.0707107,0.00119767,0.000153653,4.31321e-05,1.61998e-05
0.0721249,0.0011891,0.000150942,4.20415e-05,1.56809e-05
0.0735391,0.00118052,0.000148232,4.09509e-05,1.5162e-05
0.0749533,0.00117194,0.000145521,3.98603e-05,1.46431e-05
0.0763675,0.00116336,0.00014281,3.87696e-05,1.41243e-05
0.0777817,0.00115479,0.0001401,3.7679e-05,1.36054e-05
0.079196,0.0011471,0.000137786,3.67791e-05,1.31958e-05
0.0806102,0.00113942,0.000135473,3.58792e-05,1.27863e-05
0.0820244,0.00113174,0.000133159,3.49793e-05,1.23767e-05
0.0834386,0.00112405,0.000130846,3.40794e-05,1.19671e-05
0.0848528,0.00111637,0.000128533,3.31795e-05,1.15576e-05
0.086267,0.00110943,0.000126536,3.24293e-05,1.12287e-05
0.0876812,0.0011025,0.000124539,3.16792e-05,1.08998e-05
0.0890955,0.00109556,0.000122542,3.0929e-05,1.05709e-05
