"a","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.6863e-19,1,0,0,0,0
0.0003973,1,0.0014142,0.001,0.001,0
0.00079459,1,0.0028284,0.002,0.002,0
0.0011919,1,0.0042426,0.003,0.003,0
0.0015892,1,0.0056569,0.004,0.004,0
0.0019865,1,0.0070711,0.005,0.005,0
0.0023838,1,0.0084853,0.006,0.006,0
0.0027811,1,0.0098995,0.007,0.007,0
0.0031784,1,0.011314,0.008,0.008,0
0.0035757,1,0.012728,0.009,0.009,0
0.003973,1,0.014142,0.01,0.01,0
0.0041461,1,0.015556,0.011,0.011,0
0.0043193,1,0.016971,0.012,0.012,0
0.0044924,1,0.018385,0.013,0.013,0
0.0046656,1,0.019799,0.014,0.014,0
0.0048387,1,0.021213,0.015,0.015,0
0.0050119,1,0.022627,0.016,0.016,0
0.0051851,1,0.024042,0.017,0.017,0
0.0053582,1,0.025456,0.018,0.018,0
0.0055314,1,0.02687,0.019,0.019,0
0.0057045,1,0.028284,0.02,0.02,0
0.0051652,1,0.029698,0.021,0.021,0
0.0046258,1,0.031113,0.022,0.022,0
0.0040864,1,0.032527,0.023,0.023,0
0.0035471,1,0.033941,0.024,0.024,0
0.0030077,1,0.035355,0.025,0.025,0
0.0024684,1,0.03677,0.026,0.026,0
0.001929,1,0.038184,0.027,0.027,0
0.0013896,1,0.039598,0.028,0.028,0
0.00085029,1,0.041012,0.029,0.029,0
0.00031093,1,0.042426,0.03,0.03,0
0.00086917,1,0.043841,0.031,0.031,0
0.0014274,1,0.045255,0.032,0.032,0
0.0019856,1,0.046669,0.033,0.033,0
0.0025439,1,0.048083,0.034,0.034,0
0.0031021,1,0.049497,0.035,0.035,0
0.0036604,1,0.050912,0.036,0.036,0
0.0042186,1,0.052326,0.037,0.037,0
0.0047769,1,0.05374,0.038,0.038,0
0.0053351,1,0.055154,0.039,0.039,0
0.0058933,1,0.056569,0.04,0.04,0
0.0064004,1,0.057983,0.041,0.041,0
0.0069074,1,0.059397,0.042,0.042,0
0.0074145,1,0.060811,0.043,0.043,0
0.0079216,1,0.062225,0.044,0.044,0
0.0084286,1,0.06364,0.045,0.045,0
0.0089357,1,0.065054,0.046,0.046,0
0.0094427,1,0.066468,0.047,0.047,0
0.0099498,1,0.067882,0.048,0.048,0
0.010457,1,0.069296,0.049,0.049,0
0.010964,1,0.070711,0.05,0.05,0
0.010654,1,0.072125,0.051,0.051,0
0.010344,1,0.073539,0.052,0.052,0
0.010034,1,0.074953,0.053,0.053,0
0.0097237,1,0.076368,0.054,0.054,0
0.0094136,1,0.077782,0.055,0.055,0
0.0091036,1,0.079196,0.056,0.056,0
0.0087935,1,0.08061,0.057,0.057,0
0.0084835,1,0.082024,0.058,0.058,0
0.0081734,1,0.083439,0.059,0.059,0
0.0078634,1,0.084853,0.06,0.06,0
0.0088112,1,0.086267,0.061,0.061,0
0.0097589,1,0.087681,0.062,0.062,0
0.010707,1,0.089095,0.063,0.063,0
