"u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,0,0,0
-0.0003517,1,0.0014142,0.001,0.001,0
-0.00070339,1,0.0028284,0.002,0.002,0
-0.0010551,1,0.0042426,0.003,0.003,0
-0.0014068,1,0.0056569,0.004,0.004,0
-0.0017585,1,0.0070711,0.005,0.005,0
-0.0021102,1,0.0084853,0.006,0.006,0
-0.0024619,1,0.0098995,0.007,0.007,0
-0.0028136,1,0.011314,0.008,0.008,0
-0.0031653,1,0.012728,0.009,0.009,0
-0.003517,1,0.014142,0.01,0.01,0
-0.0036153,1,0.015556,0.011,0.011,0
-0.0037136,1,0.016971,0.012,0.012,0
-0.003812,1,0.018385,0.013,0.013,0
-0.0039103,1,0.019799,0.014,0.014,0
-0.0040086,1,0.021213,0.015,0.015,0
-0.004107,1,0.022627,0.016,0.016,0
-0.0042053,1,0.024042,0.017,0.017,0
-0.0043037,1,0.025456,0.018,0.018,0
-0.004402,1,0.02687,0.019,0.019,0
-0.0045003,1,0.028284,0.02,0.02,0
-0.003992,1,0.029698,0.021,0.021,0
-0.0034838,1,0.031113,0.022,0.022,0
-0.0029755,1,0.032527,0.023,0.023,0
-0.0024672,1,0.033941,0.024,0.024,0
-0.0019589,1,0.035355,0.025,0.025,0
-0.0014506,1,0.03677,0.026,0.026,0
-0.0009423,1,0.038184,0.027,0.027,0
-0.00043401,1,0.039598,0.028,0.028,0
7.4277e-05,1,0.041012,0.029,0.029,0
0.00058257,1,0.042426,0.03,0.03,0
0.00096911,1,0.043841,0.031,0.031,0
0.0013556,1,0.045255,0.032,0.032,0
0.0017422,1,0.046669,0.033,0.033,0
0.0021287,1,0.048083,0.034,0.034,0
0.0025153,1,0.049497,0.035,0.035,0
0.0029018,1,0.050912,0.036,0.036,0
0.0032883,1,0.052326,0.037,0.037,0
0.0036749,1,0.05374,0.038,0.038,0
0.0040614,1,0.055154,0.039,0.039,0
0.004448,1,0.056569,0.04,0.04,0
0.0031568,1,0.057983,0.041,0.041,0
0.0018657,1,0.059397,0.042,0.042,0
0.00057452,1,0.060811,0.043,0.043,0
-0.00071662,1,0.062225,0.044,0.044,0
-0.0020078,1,0.06364,0.045,0.045,0
-0.0032989,1,0.065054,0.046,0.046,0
-0.00459,1,0.066468,0.047,0.047,0
-0.0058812,1,0.067882,0.048,0.048,0
-0.0071723,1,0.069296,0.049,0.049,0
-0.0084635,1,0.070711,0.05,0.05,0
-0.0081986,1,0.072125,0.051,0.051,0
-0.0079336,1,0.073539,0.052,0.052,0
-0.0076687,1,0.074953,0.053,0.053,0
-0.0074038,1,0.076368,0.054,0.054,0
-0.0071388,1,0.077782,0.055,0.055,0
-0.0068739,1,0.079196,0.056,0.056,0
-0.006609,1,0.08061,0.057,0.057,0
-0.006344,1,0.082024,0.058,0.058,0
-0.0060791,1,0.083439,0.059,0.059,0
-0.0058142,1,0.084853,0.06,0.06,0
-0.004025,1,0.086267,0.061,0.061,0
-0.0022358,1,0.087681,0.062,0.062,0
-0.00044666,1,0.089095,0.063,0.063,0
0.0013425,1,0.09051,0.064,0.064,0
0.0031317,1,0.091924,0.065,0.065,0
0.0049209,1,0.093338,0.066,0.066,0
0.00671,1,0.094752,0.067,0.067,0
0.0084992,1,0.096167,0.068,0.068,0
0.010288,1,0.097581,0.069,0.069,0
0.012078,1,0.098995,0.07,0.07,0
0.011123,1,0.10041,0.071,0.071,0
0.010168,1,0.10182,0.072,0.072,0
0.0092137,1,0.10324,0.073,0.073,0
0.008259,1,0.10465,0.074,0.074,0
0.0073044,1,0.10607,0.075,0.075,0
0.0063498,1,0.10748,0.076,0.076,0
0.0053952,1,0.10889,0.077,0.077,0
0.0044405,1,0.11031,0.078,0.078,0
0.0034859,1,0.11172,0.079,0.079,0
0.0025313,1,0.11314,0.08,0.08,0
0.002031,1,0.11455,0.081,0.081,0
0.0015308,1,0.11597,0.082,0.082,0
0.0010305,1,0.11738,0.083,0.083,0
0.00053027,1,0.11879,0.084,0.084,0
3.0018e-05,1,0.12021,0.085,0.085,0
-0.00047024,1,0.12162,0.086,0.086,0
-0.00097049,1,0.12304,0.087,0.087,0
-0.0014707,1,0.12445,0.088,0.088,0
-0.001971,1,0.12587,0.089,0.089,0
-0.0024713,1,0.12728,0.09,0.09,0
-0.0011623,1,0.12869,0.091,0.091,0
0.00014667,1,0.13011,0.092,0.092,0
0.0014556,1,0.13152,0.093,0.093,0
0.0027646,1,0.13294,0.094,0.094,0
0.0040735,1,0.13435,0.095,0.095,0
0.0053825,1,0.13576,0.096,0.096,0
0.0066915,1,0.13718,0.097,0.097,0
