"arc_length","N=3","N=2","No Filter","Exact","N=0","N=1"
0,0,0,0,0,0,0
0.0141421,0.0465462,0.0472462,0.0799839,0.0094585,0.0475412,0.0477923
0.0282843,0.0930923,0.0944924,0.159968,0.018917,0.0950823,0.0955846
0.0424264,0.139638,0.141739,0.239952,0.0283755,0.142624,0.143377
0.0565685,0.186185,0.188985,0.319935,0.037834,0.190165,0.191169
0.0707107,0.232731,0.236231,0.399919,0.0472925,0.237706,0.238962
0.0848528,0.203527,0.205277,0.310301,0.0568224,0.203841,0.206129
0.0989949,0.174323,0.174323,0.220683,0.0663522,0.169976,0.173295
0.113137,0.145119,0.143369,0.131064,0.0758821,0.136111,0.140462
0.127279,0.115915,0.112415,0.041446,0.085412,0.102246,0.107629
0.141421,0.0867116,0.0814616,-0.0481723,0.0949418,0.068381,0.0747964
0.155563,0.136679,0.133375,0.0724935,0.104527,0.125035,0.12934
0.169706,0.186647,0.185288,0.193159,0.114113,0.18169,0.183883
0.183848,0.236615,0.237201,0.313825,0.123698,0.238344,0.238426
0.19799,0.286583,0.289115,0.434491,0.133283,0.294998,0.29297
0.212132,0.336551,0.341028,0.555157,0.142869,0.351653,0.347513
0.226274,0.301547,0.304467,0.428591,0.152497,0.31042,0.308524
0.240416,0.266543,0.267907,0.302025,0.162126,0.269187,0.269536
0.254558,0.231539,0.231346,0.17546,0.171755,0.227954,0.230547
0.268701,0.196535,0.194786,0.0488941,0.181383,0.186721,0.191558
0.282843,0.161531,0.158225,-0.0776716,0.191012,0.145488,0.15257
0.296985,0.219155,0.217276,0.0888554,0.200674,0.209653,0.21383
0.311127,0.276779,0.276328,0.255383,0.210337,0.273818,0.27509
0.325269,0.334403,0.335379,0.42191,0.219999,0.337983,0.336351
0.339411,0.392027,0.394431,0.588437,0.229662,0.402147,0.397611
0.353553,0.449651,0.453482,0.754964,0.239324,0.466312,0.458872
0.367696,0.40901,0.411258,0.584597,0.249013,0.419278,0.414512
0.381838,0.36837,0.369033,0.414229,0.258702,0.372243,0.370152
0.39598,0.32773,0.326808,0.243862,0.268391,0.325208,0.325792
0.410122,0.28709,0.284584,0.0734951,0.27808,0.278174,0.281432
0.424264,0.246449,0.242359,-0.0968721,0.287769,0.231139,0.237073
0.438406,0.309028,0.306688,0.112664,0.297479,0.300081,0.303598
0.452548,0.371607,0.371017,0.322201,0.307188,0.369023,0.370124
0.46669,0.434186,0.435346,0.531738,0.316898,0.437966,0.43665
0.480833,0.496765,0.499674,0.741274,0.326608,0.506908,0.503176
0.494975,0.559344,0.564003,0.950811,0.336317,0.57585,0.569702
0.509117,0.514655,0.517446,0.740768,0.346043,0.524119,0.520935
0.523259,0.469966,0.470889,0.530726,0.355769,0.472388,0.472168
0.537401,0.425277,0.424331,0.320684,0.365495,0.420657,0.423402
0.551543,0.380588,0.377774,0.110642,0.375221,0.368926,0.374635
0.565685,0.335899,0.331217,-0.0993999,0.384947,0.317195,0.325869
0.579828,0.402113,0.399359,0.155336,0.394686,0.390565,0.396344
0.59397,0.468326,0.467502,0.410071,0.404425,0.463934,0.466819
0.608112,0.53454,0.535645,0.664807,0.414164,0.537304,0.537294
