"arc_length","N=1","Exact","No Filter","N=3","N=0","N=2"
0,0,0,0,0,0,0
0.0141421,0.00948466,0.0090693,0.00967456,0.00951587,0.00945004,0.00950327
0.0282843,0.0189693,0.0181386,0.0193491,0.0190317,0.0189001,0.0190065
0.0424264,0.0277059,0.027304,0.0281508,0.0277895,0.0276198,0.0277554
0.0565685,0.0356944,0.0365655,0.0360795,0.0357891,0.0356091,0.0357497
0.0707107,0.0436829,0.0458269,0.0440082,0.0437887,0.0435984,0.0437441
0.0848528,0.0544894,0.0552205,0.0548978,0.0546667,0.0542977,0.0545999
0.0989949,0.065296,0.0646141,0.0657874,0.0655446,0.064997,0.0654557
0.113137,0.074637,0.0740539,0.0750665,0.074872,0.0743522,0.0747891
0.127279,0.0825125,0.08354,0.0827351,0.082649,0.0823632,0.0825999
0.141421,0.090388,0.0930261,0.0904037,0.090426,0.0903743,0.0904107
0.155563,0.102048,0.102578,0.102235,0.102164,0.101841,0.102127
0.169706,0.113708,0.112131,0.114067,0.113902,0.113307,0.113844
0.183848,0.123094,0.121707,0.123424,0.123273,0.122724,0.123221
0.19799,0.130208,0.131307,0.130306,0.130279,0.13009,0.13026
0.212132,0.137322,0.140908,0.137188,0.137285,0.137457,0.137298
0.226274,0.150082,0.150544,0.150193,0.15014,0.149912,0.150133
0.240416,0.162842,0.16018,0.163198,0.162995,0.162366,0.162969
0.254558,0.172178,0.16983,0.172506,0.172326,0.171739,0.172299
0.268701,0.178088,0.179494,0.178118,0.178132,0.17803,0.178124
0.282843,0.183998,0.189158,0.183729,0.183938,0.184321,0.183949
0.296985,0.198297,0.198842,0.198377,0.198318,0.198167,0.198312
0.311127,0.212596,0.208527,0.213025,0.212699,0.212014,0.212674
0.325269,0.221819,0.218221,0.222204,0.221925,0.221272,0.221899
0.339411,0.225967,0.227922,0.225912,0.225996,0.225939,0.225987
0.353553,0.230114,0.237624,0.22962,0.230067,0.230607,0.230074
0.367696,0.246535,0.247339,0.246628,0.246563,0.246457,0.246556
0.381838,0.262956,0.257054,0.263637,0.26306,0.262307,0.263037
0.39598,0.272012,0.266775,0.272598,0.272119,0.271372,0.272094
0.410122,0.273702,0.276501,0.273512,0.273741,0.273652,0.273725
0.424264,0.275392,0.286227,0.274426,0.275362,0.275931,0.275356
0.438406,0.29474,0.295962,0.294842,0.294774,0.294675,0.294765
0.452548,0.314088,0.305697,0.315258,0.314186,0.313419,0.314174
0.46669,0.322906,0.315436,0.323889,0.323016,0.322218,0.322996
0.480833,0.321196,0.325179,0.320735,0.321263,0.321073,0.321233
0.494975,0.319485,0.334921,0.317582,0.319509,0.319929,0.31947
0.509117,0.342826,0.34467,0.342924,0.342863,0.342685,0.342857
0.523259,0.366167,0.354419,0.368266,0.366217,0.365441,0.366244
0.537401,0.374676,0.364171,0.376408,0.374756,0.373962,0.374765
0.551543,0.368354,0.373925,0.367349,0.368481,0.368249,0.368421
0.565685,0.362032,0.38368,0.35829,0.362206,0.362536,0.362077
0.579828,0.390701,0.393439,0.390756,0.390733,0.390524,0.390732
0.59397,0.419371,0.403198,0.423223,0.41926,0.418512,0.419387
0.608112,0.427511,0.412959,0.430658,0.42747,0.426657,0.42756
0.622254,0.415122,0.422721,0.413062,0.415363,0.41496,0.415252
0.636396,0.402733,0.432484,0.395466,0.403255,0.403263,0.402944
0.650538,0.43827,0.44225,0.43818,0.438316,0.438065,0.43828
0.66468,0.473808,0.452017,0.480894,0.473378,0.472867,0.473616
0.678823,0.481547,0.461784,0.487323,0.481241,0.480584,0.481432
0.692965,0.461489,0.471553,0.457467,0.461905,0.461219,0.461729
0.707107,0.44143,0.481322,0.427611,0.44257,0.441853,0.442026
0.721249,0.485425,0.491094,0.48504,0.485558,0.485232,0.485498
0.735391,0.52942,0.500865,0.542469,0.528547,0.528611,0.52897
0.749533,0.536778,0.510637,0.54741,0.536075,0.535875,0.536427
0.763675,0.507499,0.520411,0.499863,0.508143,0.507024,0.507871
0.777817,0.47822,0.530184,0.452316,0.480211,0.478172,0.479314
0.79196,0.532121,0.539959,0.53107,0.532383,0.531955,0.532282
0.806102,0.586022,0.549735,0.609823,0.584555,0.585738,0.585251
0.820244,0.593107,0.55951,0.61262,0.59186,0.59261,0.592457
0.834386,0.553375,0.569287,0.539458,0.5543,0.552573,0.553902
0.848528,0.513642,0.579064,0.466297,0.516739,0.512536,0.515347
0.86267,0.578361,0.588841,0.575593,0.578774,0.578172,0.578605
0.876812,0.643079,0.598619,0.684889,0.640809,0.643808,0.641863
0.890955,0.650048,0.608398,0.684897,0.648054,0.650446,0.648986
0.905097,0.599269,0.618176,0.575617,0.600509,0.598088,0.599972
0.919239,0.54849,0.627955,0.466338,0.552963,0.54573,0.550959
0.933381,0.624424,0.637735,0.618367,0.625056,0.623954,0.624787
0.947523,0.700358,0.647514,0.770395,0.697149,0.702176,0.698616
0.961665,0.707218,0.657294,0.766138,0.704335,0.708698,0.705658
0.975807,0.645004,0.667074,0.605596,0.646615,0.643518,0.645913
0.989949,0.58279,0.676854,0.445053,0.588895,0.578337,0.586169
1.00409,0.67017,0.686634,0.659873,0.671082,0.669315,0.67068
1.01823,0.75755,0.696415,0.874695,0.75327,0.760294,0.755192
1.03238,0.764666,0.706196,0.863075,0.760769,0.767152,0.762516
1.04652,0.691517,0.715976,0.625018,0.693579,0.68989,0.692654
1.06066,0.618369,0.725757,0.386961,0.626389,0.612628,0.622791
1.0748,0.715254,0.735538,0.695353,0.716597,0.71429,0.715961
1.08894,0.81214,0.745319,1.00374,0.806804,0.815951,0.809131
1.10309,0.819976,0.7551,0.985238,0.814974,0.823651,0.817128
1.11723,0.738762,0.764882,0.639827,0.741105,0.737388,0.739952
1.13137,0.657548,0.774664,0.294419,0.667236,0.651126,0.662776
1.14551,0.761926,0.784448,0.719988,0.763528,0.761253,0.762627
1.15966,0.866305,0.794232,1.14556,0.85982,0.87138,0.862479
1.1738,0.87351,0.804022,1.12077,0.866841,0.878454,0.869433
1.18794,0.783543,0.813817,0.645625,0.784593,0.782474,0.783489
1.20208,0.693576,0.823612,0.17048,0.702344,0.686495,0.697546
1.21622,0.809666,0.833458,0.759573,0.809366,0.804877,0.809007
1.23037,0.925756,0.843304,1.34867,0.916388,0.923259,0.920469
1.24451,0.933585,0.853268,1.28612,0.924739,0.931981,0.929105
1.25865,0.833152,0.863351,0.57193,0.834418,0.831044,0.834913
1.27279,0.732719,0.873435,-0.142258,0.744098,0.730107,0.740722
1.28693,0.842566,0.884668,0.795865,0.841037,0.838547,0.842152
1.30108,0.952413,0.895902,1.73399,0.937975,0.946987,0.943582
1.31522,0.947111,0.90984,1.63589,0.935757,0.93908,0.939796
1.32936,0.826662,0.92648,0.501581,0.834382,0.814826,0.830796
1.3435,0.706213,0.943121,-0.632727,0.733007,0.690572,0.721796
1.35765,0.694528,0.971193,0.610203,0.719595,0.67852,0.708935
1.37179,0.682844,0.999266,1.85314,0.706183,0.666468,0.696075
1.38593,0.541601,0.810641,1.97968,0.559581,0.528353,0.551715
1.40007,0.270801,0.40532,0.989842,0.27979,0.264177,0.275858
1.41421,0,0,0,0,0,0
