"arc_length","N=0","N=1","N=2","N=3"
0,0,0,0,0
0.0141421,0.0026397,0.0023017,0.00211448,0.00199011
0.0282843,0.00394035,0.00287715,0.00232718,0.0019819
0.0424264,0.00446042,0.00268014,0.0018605,0.0013928
0.0565685,0.00459054,0.00230213,0.00140489,0.00096313
0.0707107,0.0045535,0.00197234,0.00111887,0.000756149
0.0848528,0.00445225,0.00174906,0.000973199,0.000668504
0.0989949,0.00434285,0.00158109,0.000873327,0.000605224
0.113137,0.00423346,0.00145328,0.000800784,0.000554142
0.127279,0.00412914,0.00135346,0.000742957,0.000508277
0.141421,0.00403181,0.00127247,0.000693088,0.000465837
0.155563,0.00394374,0.00120668,0.000649543,0.000428318
0.169706,0.00386182,0.0011484,0.000609711,0.00039457
0.183848,0.00378546,0.00109619,0.000573274,0.000364364
0.19799,0.00371412,0.00104892,0.000539944,0.000337411
0.212132,0.00364728,0.00100577,0.000509467,0.000313366
0.226274,0.00358559,0.000967037,0.000482311,0.000292519
0.240416,0.00352723,0.000931053,0.000457308,0.000273641
0.254558,0.00347193,0.000897543,0.000434262,0.000256502
0.268701,0.00341942,0.000866262,0.000412987,0.000240901
0.282843,0.00336948,0.000836992,0.000393311,0.000226655
0.296985,0.00332258,0.00081006,0.000375483,0.000213941
0.311127,0.0032777,0.000784664,0.000358857,0.000202202
0.325269,0.00323473,0.000760689,0.000343335,0.000191352
0.339411,0.00319351,0.000738024,0.000328825,0.000181308
0.353553,0.00315395,0.000716565,0.000315235,0.000171989
0.367696,0.00311638,0.000696556,0.000302744,0.00016353
0.381838,0.00308017,0.000677511,0.00029097,0.000155621
0.39598,0.00304526,0.000659381,0.000279875,0.000148234
0.410122,0.00301156,0.000642103,0.000269409,0.000141326
0.424264,0.00297899,0.000625605,0.000259505,0.000134838
0.438406,0.00294786,0.0006101,0.00025033,0.000128905
0.452548,0.00291768,0.000595225,0.000241592,0.000123284
0.46669,0.00288844,0.000580991,0.000233316,0.00011801
0.480833,0.0028601,0.000567354,0.000225463,0.000113049
0.494975,0.00283255,0.00055421,0.000217932,0.000108299
0.509117,0.00280614,0.000541862,0.000210995,0.00010402
0.523259,0.00278036,0.000529864,0.00020425,9.98321e-05
0.537401,0.00275535,0.000518386,0.000197888,9.59438e-05
0.551543,0.00273104,0.000507368,0.00019185,9.22971e-05
0.565685,0.00270716,0.000496517,0.000185827,8.85689e-05
0.579828,0.00268449,0.000486608,0.000180614,8.55788e-05
0.59397,0.00266196,0.000476585,0.000175131,8.22159e-05
0.608112,0.00264023,0.000467173,0.000170165,7.9321e-05
0.622254,0.00261915,0.00045821,0.000165547,7.67166e-05
0.636396,0.00259775,0.000448644,0.000160149,7.32067e-05
0.650538,0.00257853,0.000441148,0.000156814,7.17968e-05
0.66468,0.00255815,0.000432147,0.000151741,6.84702e-05
0.678823,0.00253917,0.000424462,0.00014797,6.64653e-05
0.692965,0.00252107,0.000417519,0.000144889,6.51321e-05
0.707107,0.00250022,0.000407353,0.000138231,5.99323e-05
0.721249,0.00248576,0.000403924,0.000138691,6.22338e-05
0.735391,0.00246553,0.000393955,0.000132013,5.68843e-05
0.749533,0.00244932,0.000388221,0.000129802,5.62369e-05
0.763675,0.00243519,0.000384576,0.000129748,5.78376e-05
0.777817,0.00240941,0.000367955,0.000115635,4.4425e-05
0.79196,0.00240637,0.000376073,0.000128048,5.91854e-05
0.806102,0.00238027,0.000358698,0.000112931,4.45999e-05
0.820244,0.00236842,0.00035681,0.000114412,4.76392e-05
0.834386,0.00236344,0.000362292,0.000123752,5.90021e-05
0.848528,0.00231318,0.000317922,7.93442e-05,1.31147e-05
0.86267,0.00234805,0.000366786,0.000135231,7.39267e-05
0.876812,0.00229446,0.000318401,8.63408e-05,4.81307e-05
0.890955,0.00229408,0.000328275,0.000100119,6.40359e-05
0.905097,0.00231889,0.000365668,0.000150366,0.000119816
0.919239,0.00217122,0.000213591,1.72408e-05,8.35112e-05
0.933381,0.00234514,0.000414317,0.000208766,0.000184154
0.947523,0.00218316,0.000246206,0.0001815,0.000205283
0.961665,0.00222188,0.000298268,0.000240515,0.000268894
0.975807,0.00235543,0.00049719,0.000392916,0.000381012
0.989949,0.00183537,0.000107346,0.00034785,0.000431689
1.00409,0.00253122,0.000708398,0.000626712,0.000629978
1.01823,0.00195597,0.000644135,0.000736301,0.000796956
1.03238,0.00213886,0.000853301,0.000965893,0.00103935
1.04652,0.00267995,0.00135668,0.00132874,0.00137565
1.06066,0.000750166,0.00125709,0.0015621,0.00173614
1.0748,0.00341351,0.00217497,0.00222739,0.00231718
1.08894,0.00198666,0.00259316,0.0028181,0.00302877
1.10309,0.00270967,0.00338689,0.00369634,0.00394253
1.11723,0.00534211,0.00462331,0.00488345,0.00512505
1.13137,0.00316289,0.00556142,0.00605996,0.00663783
1.14551,0.00817503,0.00768545,0.00832129,0.00868692
1.15966,0.00864237,0.00996807,0.0106098,0.0114025
1.1738,0.0114212,0.0129067,0.0139809,0.0149078
1.18794,0.0166335,0.0168849,0.0184079,0.0193326
1.20208,0.0176675,0.0221726,0.022782,0.0248139
1.21622,0.0275266,0.0279869,0.0314788,0.0331715
1.23037,0.0334158,0.0381728,0.039931,0.0424605
1.24451,0.0440138,0.0482934,0.0520877,0.0558251
1.25865,0.0589001,0.0611776,0.0684643,0.0728182
1.27279,0.0685554,0.08692,0.086143,0.0894018
1.28693,0.101535,0.0981636,0.111902,0.122891
1.30108,0.121285,0.144894,0.153692,0.159923
1.31522,0.169896,0.18462,0.194923,0.206929
1.32936,0.233476,0.23029,0.254604,0.2796
1.3435,0.242144,0.350298,0.387345,0.402879
