"arc_length","Exact","N=0","N=1","N=2","N=3","No Filter"
0,0,0,0,0,0,0
0.0141421,0.00848057,0.00809235,0.00810037,0.00810493,0.00810796,0.00815315
0.0282843,0.0172822,0.0167451,0.0167681,0.0167811,0.01679,0.0168569
0.0424264,0.0263148,0.0257779,0.0258135,0.0258317,0.0258443,0.0258991
0.0565685,0.0355093,0.0350374,0.0350795,0.0350975,0.03511,0.0351346
0.0707107,0.0448175,0.0443971,0.0444415,0.044457,0.0444676,0.0444854
0.0848528,0.0542237,0.0538473,0.0538907,0.0539035,0.0539111,0.0539254
0.0989949,0.0636801,0.0633392,0.0633808,0.0633916,0.0633971,0.0634092
0.113137,0.0731775,0.0728652,0.0729048,0.072914,0.0729182,0.0729288
0.127279,0.0827081,0.0824193,0.0824567,0.0824647,0.0824681,0.0824774
0.141421,0.0922661,0.0919965,0.0920319,0.0920391,0.0920421,0.0920501
0.155563,0.101853,0.101598,0.101632,0.101638,0.101641,0.101648
0.169706,0.111456,0.111215,0.111247,0.111253,0.111256,0.111262
0.183848,0.121075,0.120846,0.120876,0.120882,0.120885,0.12089
0.19799,0.130708,0.130489,0.130518,0.130523,0.130525,0.13053
0.212132,0.140352,0.140142,0.14017,0.140175,0.140177,0.140182
0.226274,0.150011,0.149809,0.149835,0.14984,0.149842,0.149846
0.240416,0.159678,0.159483,0.159508,0.159513,0.159515,0.159518
0.254558,0.169353,0.169165,0.169189,0.169194,0.169196,0.169199
0.268701,0.179036,0.178854,0.178878,0.178882,0.178883,0.178886
0.282843,0.188726,0.188549,0.188572,0.188576,0.188578,0.18858
0.296985,0.198424,0.198252,0.198274,0.198278,0.19828,0.198282
0.311127,0.208128,0.20796,0.207982,0.207986,0.207987,0.207989
0.325269,0.217837,0.217673,0.217694,0.217698,0.217699,0.217701
0.339411,0.22755,0.227391,0.227411,0.227415,0.227416,0.227418
0.353553,0.237268,0.237113,0.237132,0.237136,0.237137,0.237139
0.367696,0.246992,0.24684,0.246859,0.246862,0.246863,0.246865
0.381838,0.256719,0.25657,0.256589,0.256592,0.256593,0.256594
0.39598,0.266449,0.266304,0.266322,0.266325,0.266326,0.266327
0.410122,0.276183,0.276041,0.276058,0.276061,0.276062,0.276063
0.424264,0.28592,0.28578,0.285798,0.285801,0.285801,0.285803
0.438406,0.295661,0.295524,0.295541,0.295543,0.295544,0.295545
0.452548,0.305404,0.30527,0.305286,0.305289,0.30529,0.305291
0.46669,0.31515,0.315018,0.315034,0.315037,0.315037,0.315038
0.480833,0.324899,0.324768,0.324784,0.324787,0.324787,0.324788
0.494975,0.334649,0.334521,0.334536,0.334539,0.33454,0.33454
0.509117,0.344402,0.344276,0.344291,0.344294,0.344294,0.344295
0.523259,0.354157,0.354033,0.354048,0.35405,0.354051,0.354052
0.537401,0.363914,0.363792,0.363806,0.363809,0.363809,0.36381
0.551543,0.373673,0.373552,0.373566,0.373569,0.373569,0.37357
0.565685,0.383433,0.383314,0.383328,0.38333,0.383331,0.383331
0.579828,0.393195,0.393078,0.393092,0.393094,0.393094,0.393095
0.59397,0.402958,0.402843,0.402856,0.402858,0.402859,0.402859
0.608112,0.412723,0.412609,0.412623,0.412624,0.412625,0.412626
0.622254,0.422489,0.422377,0.42239,0.422392,0.422393,0.422393
0.636396,0.432257,0.432145,0.432158,0.432159,0.43216,0.43216
0.650538,0.442025,0.441916,0.441929,0.441931,0.441931,0.441932
0.66468,0.451795,0.451686,0.451699,0.4517,0.451701,0.451701
0.678823,0.461566,0.461459,0.461471,0.461473,0.461473,0.461474
0.692965,0.471338,0.471233,0.471245,0.471247,0.471247,0.471248
0.707107,0.48111,0.481002,0.481014,0.481016,0.481016,0.481016
0.721249,0.490884,0.490783,0.490795,0.490796,0.490797,0.490797
0.735391,0.500658,0.500554,0.500565,0.500567,0.500567,0.500567
